In situ generation of CeCoSx bimetallic sulfide derived from “egg-box” seaweed biomass on S/N co-doped graphene aerogels for flexible all solid-state supercapacitors,"© 2022 Elsevier B.V.Practical applications of flexible electrochemical energy storage devices are still limited by the lack of robust mechanical structures and high capacitive storage capabilities. Herein, the 3D CeCoSx-SA/GF porous aerogels are designed and prepared based on sodium alginate, which possess a special structure that can be explained by the so-called “egg-box” model. Each metal ion can be paired with the carboxyl and hydroxyl groups of the G monomer on two adjacent sodium alginate molecular chains. Melamine foam is used as carrier for graphene/sodium alginate impregnation and plays an important role on significantly limiting the agglomeration of graphene nanosheets due to their strong π-π stacking. The fabricated electrode based on CeCoSx-SA/GF shows an excellent electrochemical capacitance of 873.3F/g at the current density of 1A/g. In addition, the capacitance retention rate can still remain 87.1 % after 5000 cycles at a high current density of 8 A/g. Moreover, the fabricated all-solid state asymmetric supercapacitor device assembled with CoCeSx-SA/GF and active carbon shows an energy density of 29.58 Wh kg−1 at a power density of 801 W kg−1. For practical applications, the fabricated supercapacitor device can power a multifunctional display for 28 mins and illuminate a small light bulb for 3 mins. Moreover, the KOH/polyvinyl alcohol gel-electrolyte was used to fabricate high-strength and flexible CeCoSx-SA/GF/PVA/KOH composite film electrode, which can be bent at various angles (0°-180°) and can be twisted into various shapes. Notably, the CeCoSx-SA/GF/PVA/KOH composite film can lift plastic bottles containing 500 mL (500 g) and 1000 mL (1 kg) water, respectively, indicating that it has great application potential for wearable and portable electronic devices.",Chemical Engineering Journal
High-performance and sodiation mechanism of a pulse potential-electrodeposited Sb-Zn alloy as an anode for sodium-ion batteries,"© 2022 Elsevier B.V.Antimony-based alloys have attracted extensive attention as promising anode materials in sodium-ion batteries (SIBs) due to their high theoretical capacity. However, the current process used to fabricate Sb-based alloys results in an almost powdery product, which leads to inadequate ion penetration and impedes electron transport when the alloys mix with nonconductive binders. Here, we have developed an advanced pulse potential electrodeposition method to prepare binder-free Sb-Zn alloys on copper foil and form a self-supported anode of SIBs. The Sb-Zn alloy anodes exhibited remarkably stable and robust Na-ion storage performance. Compared with the constant potential electrodeposition method, the Sb-Zn composite prepared using pulse potential electrodeposition exhibits higher charge/discharge capacities, a higher rate capability and superior cycle performance. The initial charge/discharge capacities of the Sb-Zn alloy anode are 377 mAh·g−1/453 mAh·g−1, and the first coulombic efficiency reaches to 83%. The specific capacity retention is 70% after 320 cycles at a charge/discharge current density of 300 mA·g−1. The reaction mechanism and reaction kinetics were determined by performing operando X-ray diffraction spectroscopy and cyclic voltammetry investigations. This work provides a potential new starting point for large scalable manufacturing of high-performance Sb-based anodes for SIBs.",Applied Surface Science
Ag nanoparticles embedded in sodiophilic carbon host achieving high-power Na metal batteries,"© 2022 Elsevier B.V.Sodium (Na) metal with low electrode potential and high theoretical specific capacity has been spotlighted by the commercial market. The layered oxide cathode paired with Na metal anode can offer an energy density comparable to the current LiFePO4-graphite system. Nevertheless, the dendrite growth and poor processability of Na metal seriously hamper its practical application. This study demonstrates that Ag nanoparticles on N,P-doped carbon cloth (NPCC-Ag) provide sodiophilic sites for Na deposition, inducing the formation of a stable NaF-rich interface. The independent composite anodes fabricated by melt infusion strategy exhibit lower polarization and higher stability in the carbonate-based electrolyte. When coupled with NaCrO2 cathode, the composite anode demonstrates a higher specific capacity and Coulombic efficiency at high current density. This work provides a fresh horizon for the preparation of high-performance Na metal anodes, which is valuable for the development of high-power Na metal batteries.",Chemical Engineering Journal
Graphene oxide microrolls as high- content Si carriers boosting Li-ion storage,"© 2022 Elsevier B.V.As attractive anode materials of lithium-ion batteries, both microsized and nanosized silicon particles have been investigated widely, but each has lots of insurmountable problems to restrict their practical applications. In this work, combining the advantages of microsized and nanosized Si particles, we reported a new thought for constructing micrometer-sized Si/C particles by embedding Si nanoparticles into graphene oxide (GO)-based mirorolls. Differing to the traditional spherical shape, the resulted Si/C microrolls exhibit a unique elastic coil structure with opening ends, facilitating the stress buffer and fast charge diffusion. Besides, in order to maintain the stability of Si nanoparticles in microrolls, we chose the elastic and deformable liquid metal (LM) as the “cloth”, and sodium alginate (SA) as the “thread”, successfully tailor a novel “tight suit” for each Si nanoparticle by a facile self-assembly process. Thanks to the double protection of the conductive-elastic LM-SA coating and the microroll architecture, the resulted Si@LM-SA@GO microroll anode not only has a high Si content of 69 %, a high tap density of 0.62 g cm−3 and a high initial coulombic efficiency of 85.1 %, but also exhibits a superior volumetric capacity of 2506 mAh cm−3, and a superior cycling performance of 660 mAh cm−3 after 500 cycles at 2 A g−1. The full cell constructed using a LiNiCoMnO2 cathode can achieve a high reversible capacity of 150 mAh g−1 at 1C after 250 cycles, delivering a high-energy density of 510 Wh kg−1.",Chemical Engineering Journal
Lychee seed-derived microporous carbon for high-performance sodium-sulfur batteries,"© 2022 Elsevier LtdSodium-sulfur (Na–S) batteries are regarded as one of the promising next-generation energy storage systems; while being more cost-effective than lithium-sulfur batteries, Na–S batteries also suffer from the shuttle effect. Different strategies to tackle the long-chain polysulfide product shuttling issue have been proposed, mainly focusing on sulfur product confinement with costly materials and complex methods. Seeking high-performance and low-cost electrode material precursors is of great importance to promoting Na–S battery applications. We present a high specific surface area microporous carbon framework synthesized from degradable biowaste, namely lychee seeds, with a facile room-temperature etching process. Unlike the traditional dissolution-precipitation mechanism, a quasi-solid-state route takes place with the help of micropore (0.48 nm) confinement, preventing the formation of long-chain polysulfides for excellent electrochemical performance. The obtained Na–S battery exhibits an outstanding initial reversible discharge specific capacity of 1395 mAh g−1 at 0.2C and still maintains a high capacity of 518 mAh g−1 after 500 cycles at 1.0C. The lychee seed-derived microporous carbon provides insights into sustainable and scalable host fabrication for high-performance sulfur-based batteries.",Carbon
Rapid ultrasound welding toward compact Na/Beta-Al2O3 interface realizing room-temperature solid-state sodium metal battery,"© 2022 Elsevier B.V.Interfacial regulation on Na metal/solid electrolytes benefits for realizing room temperature solid-state sodium metal battery for energy storage technique, yet remains challenging due to rigid solid-solid contact and unmanageable dendrite growth. To suit the remedy to the annoying interfacial trouble, a highly efficient ultrasound welding (UW) strategy is rolled out and successfully verified by Na/Beta-Al2O3 interface in one minute. The UW-Na/Beta-Al2O3/UW-Na symmetric cell accompanied by a critical current density of 0.65 mA cm−2 can be cycled stably for over 800 h at 0.1 mA cm−2 at room temperature. Integrating into polyanion-typed Na3V2(PO4)3 cathode with three-dimensional Na+ transport, the room-temperature sodium metal full battery delivers a high energy density of 234 Wh kg−1 under a high power density of 1773 W kg−1. Such full battery provides a reversible capacity of 86 mA h g−1 after 700 cycles at 0.5 C with a capacity retention of 86.66%. This work elucidates the atom-level ultrasonic welding strategy for constructing compact Na/Beta-Al2O3 interface, providing rational design on engineering Na/solid electrolyte interface for solid-state sodium metal battery.",Energy Storage Materials
Efficient promotion of Calliandra haematocephala flower-like MXene/ZnCo2O4 nanocomposites on thermal decomposition of ammonium perchlorate,"© 2022 Elsevier LtdA series kind of methods were used to load ZnCo2O4 nanoparticles on MXene nanosheets for preparing MXene-based ZnCo2O4 (MXene/ZnCo2O4) nanocomposites. The characterization results indicated that the MXene/ZnCo2O4 nanocomposites (MZC-W) with a Calliandra haematocephala flower-like structure could be prepared by a two-step hydrothermal method and MZC-W with large specific surface area exhibited significant catalytic activity to the decomposition of ammonium perchlorate (AP). The decomposition performance of AP on MZC-W (2.0 wt%) showed that the high decomposition temperature of AP was highly reduced by 138.3 °C. For the heat of AP decomposition, it significantly increased to 1474.5 J g−1. During this process, the Ea of AP decomposition was reduced by 56.4%, while the reaction rate of AP decomposition was increased by 11.2 times. The remarkable catalytic activity of MZC-W was attributed to its high specific surface area and the synergistic effect between ZnCo2O4 nanoparticles and MXene nanosheets. Predictably, MZC-W with potential application value could be used as a catalyst to ameliorate the decomposition of AP, while the synthesis method of MZC-W could be used as a simple idea to improve the catalytic activity of metal oxide nanoparticles.",Vacuum
PxSy nanoparticles encapsulated in graphene as highly reversible cathode for sodium ion batteries,"© 2022Herein, phosphorus-mediated sulfur nanoparticles encapsulated in reduced graphene oxide nanosheets (P-SrGO-T) were successfully synthesized as the cathode for sodium ion battery by a ball milling and the following thermal treatment. A series of covalent bonds, such as P–S, C–S–C, C–O–P and C–S–P, are formed in this process, which are in favor of fixing the sulfur and suppressing the parasitic shuttle effect of polysulfide. Benefiting from the graphene sheets and these covalent bonds, a high reversible capacity of 637.4 mAh/g was achieved in P-SrGO-T after 100 cycles at the current density of 0.2 A/g. In addition, P-SrGO-T also delivers a high-rate capacity (330.7 mAh/g at 5 A/g) attributing to low charge transfer resistance and faster ion diffusion kinetic. This work pushes the progress forward in developing phosphosulfide cathode for sodium ion batteries.",Chinese Chemical Letters
Oxygen vacancy-mediated amorphous GeOx assisted polysulfide redox kinetics for room-temperature sodium-sulfur batteries,"© 2022 Elsevier Inc.The practical applications of room-temperature sodium-sulfur (RT Na-S) batteries have been greatly hindered by the natural sluggish reaction kinetics of sulfur and the shuttle effect of sodium polysulfide (NaPSs). Herein, oxygen vacancy (OV)-mediated amorphous GeOx/nitrogen doped carbon (donated as GeOx/NC) composites were well designed as sulfur hosts for RT Na–S batteries. Experimental and density functional theory studies show that the introduction of oxygen vacancies on GeOx/NC can effectively immobilize polysulfides and accelerate the redox kinetics of polysulfides. Meanwhile, the micro-and mesoporous framework, acting as a reactor for storing active S, is conducive to alleviating the expansion of S during the charging/discharging process. Consequently, the S@GeOx/NC cathode affords a reversible capacity of 1017 mA h g−1 at 0.1 A g−1 after 100 cycles, outstanding rate capability of 333 mA h g−1 at 10.0 A g−1 and long lifespan cyclability of 385 mAh g−1 at 1 A g−1 after 1200 cycles. This work furnishes a new way for the rational design of metal oxides with oxygen vacancies and boosts the application for RT Na-S batteries.",Journal of Colloid and Interface Science
Rationally designed oxygen vacancy for achieving effective and kinetically boosted Na-Se batteries,"© 2022 Elsevier B.V.Reasonable chemistry design of selenium hosts to stabilize and transform sodium polyselenide (Na2Sex) is of great significance for high-performance Na-Se batteries. Herein, a hollow nitrogen-doped carbon embedded with oxygen defective Fe2O3 nanoparticles (Fe2O3@NC) has been prepared, which integrates conductivity, polarity and catalytic ability into cooperation and is validated as a suitable selenium host to suppress the Na2Sex shuttling. Fe2O3 not only serves as an efficient Na2Sex reservoir via strong chemisorption between O atoms of Fe2O3 and Na atoms of Na2Sex, but also promotes the transformation of Na2Sex. Moreover, the plentiful oxygen vacancy defects in Fe2O3 phase increases the catalytic conversion efficiency of Na2Sex. Accordingly, the selenium-containing Fe2O3@NC exhibits a reversible capacity of 215.3 mAh g−1 after 2310 cycles at 10 A g−1 with a superior capacity retention of 97.1%. This work clarifies the unique chemical properties of metal oxides, especially analogs with plentiful O vacancies, in promoting the adsorption-conversion process of Na2Sex, which provides a practical way to achieve the design of highly stable Na-Se batteries.",Chemical Engineering Journal
