Robust electronic coupling of carbon nanoboxes with synergetic CoFe Alloy nanoparticles boosting efficient electrocatalytic oxygen reduction,"© 2022 Elsevier B.V.The atomically interfacial engineering combined with the rational architecture design is of significant important for developing promising oxygen electrocatalysts towards efficient energy-related applications, but still remains a grand challenge. Herein, we report numerous CoFe alloy nanoparticles, with tunable compositions, anchored firmly over the well-designed oxygen-dopants-rich carbon nanoboxes (CoFe@C NBs) as an active electrocatalyst for electrochemical oxygen reduction reaction (ORR), which is fabricated via a facile cation exchange and pyrolysis strategy. Thanks to the robust interfacial electronic coupling and the highly-exposed synergetic bimetallic centers, this optimized CoFe-27 @C NBs with the Co: Fe atomic ratio of 5.4: 1 could exhibit superior activity, excellent long-term stability and high methanol tolerance during a long-term ORR operation, with an excellent half-wave potential of 0.90 V and decent limiting current density of 5.4 mA cm−2, comparable with the commercial Pt/C catalysts and being one of the most active transition-metal ORR electrocatalysts developed. By the atomic-level synchrotron radiation characterizations and the detailed electrochemical measurements, it can be found that the strong electronic coupling at the metal-support interface could effectively promote the charge transfer and catalytic reaction kinetics, contributing to efficient 4e- ORR for CoFe-27 @C NBs.",Journal of Alloys and Compounds
"Optical responses to hole defects in functionalized Ti3C2T2 (T = F, O, OH) MXenes","© 2022 Elsevier B.V.MXenes can exhibit unique physical properties by saturating the exfoliated layers with different functional groups, which have been designed for extreme conditions due to their superior resistance to high-temperature and radiation damage. In this study, we focus on the effects of possible hole defects caused by radiation on electronic structure and optical properties for three functionalized MXenes Ti3C2T2 (T = F, O, OH). The structure–activity relationship between different defect types and optical responses is established. Hole defects have a significant effect on the electronic structure of Ti3C2T2, which mainly modify the electronic distributions at deep energy level. In Ti3C2F2 and Ti3C2O2, the hole defects will break the localization of F p-orbital and O p-orbital and release more delocalized electrons. While, defects will bring more isolated peaks corresponding to the O-H bonds in the deep energy level of Ti3C2(OH)2. The optical absorption regions for these systems are mainly concentrated in the ultraviolet (UV) region with absorption onsets in the infrared range. For Ti3C2F2 and Ti3C2O2, the hole defects in triangle, diamond and hexagonal forms can significantly improve the light absorption intensity in the UV region. While for Ti3C2(OH)2, hole defects will strengthen the light response in the visible and infrared regions.",Applied Surface Science
A portable ascorbic acid in sweat analysis system based on highly crystalline conductive nickel-based metal-organic framework (Ni-MOF),"© 2022 Elsevier Inc.Conductive metal–organic frameworks can provide unique porous structures, large pore volumes, many catalytically active sites and high crystallinity, and so are becoming increasingly important and attractive as electrocatalytic materials. The present work synthesized nanorods of the conductive compound Ni3(2,3,6,7,10,11-hexaiminotriphenylene)2 (Ni3(HITP)2) with a high degree of crystallinity from HITP ligands and Ni2+ ions. Screen-printed electrodes made with this material were employed to fabricate an enzyme-free sensor for the detection of ascorbic acid (AA). The sensor exhibited good catalytic activity during the electrocatalytic analysis of AA in alkaline media, attributed to the synergistic effect of highly active Ni-N4 catalytic sites in the nanorods, the two-dimensional superimposed honeycomb lattice of the Ni3(HITP)2, and the large specific surface area of this material. The latter property facilitated efficient electron transfer during catalytic oxidation. A portable electrochemical AA detection system was developed using Ni3(HITP)2 as the electrode material together with application-specific integrated circuits and a smartphone application with App. Good sensing performance was obtained, including a wide linear range (2–200 μM) with high sensitivity (0.814 μA μM−1 cm−2), and low detection limit (1 μM). This system can be used to monitor AA levels and trends in sweat to assess vitamin C intake as a part of personal health management.",Journal of Colloid and Interface Science
Sandwich-like superstructure of in-situ self-assembled hetero-structured carbon nanocomposite for improving electrocatalytic oxygen reduction,"© 2022 Elsevier Inc.Developing efficient and highly low-cost electrocatalysts for oxygen reduction reaction (ORR) is highly desirable and challenging for renewable energy devices. In this work, a novel sandwich-like heterostructured nanocomposite was facilely constructed via incorporation of Co9S8 nanoclusters/Co3[Co(CN)6]2 nanocubes in N,S-doped carbon multilayers (Co9S8/Co3[Co(CN)6]2/N,S-CMLs) by a one-pot coordination-modulated pyrolysis of a mixture containing dicyandiamide, Co(NO3)2 and Evans blue at 800 °C. The control tests demonstrated critical roles of the pyrolysis temperature played on the final morphology and shape, and discussed the formation mechanism in detail. The as-prepared catalyst exhibited appealing electrocatalytic performance for ORR with a more positive onset potential (Eonset = 0.96 V vs. RHE) and half-wave potential (E1/2 = 0.87 V vs. RHE) in 0.1 M KOH electrolyte, far outperforming other home-made catalysts and commercial Pt/C. This work opens a new avenue to prepare efficient, cost-effectiveness and stable electrocatalysts in sustainable energy storage and conversion devices.",Journal of Colloid and Interface Science
Tailoring the oxidation state of metallic TiO through Ti3+/Ti2+ regulation for photocatalytic conversion of CO2 to C2H6,"© 2022The regulation and stabilization of the oxidation state to promote the conversion of CO2 to C2 fuel still faces many challenges. Based on the principle of charge balance, we creatively propose a co-doping strategy to adjust the surface oxidation state distribution of metallic catalysts. A TiO-based photocatalyst co-doped with Zn and N was synthesized by ammonia assisted one-step calcination method, named ZN-TC. XPS characterization shows that Zn and N adjust the valence states of adjacent Ti elements respectively, so that the surface of TiO maintains a relatively stable Ti3+/Ti2+ ratio. Under visible light irradiation, the material can catalyze CO2 into CO (324.11 μmol·g−1·h−1) and C2H6 (10.27 μmol·g−1·h−1) in the liquid phase. The selectivity of C2H6 reached 14.45%. When irradiated with near-infrared light, ZN-TC shows 100% CO selectivity because the photon energy is not enough to support the catalytic hydrogenation of CO2. Theoretical calculations and experiments proved that Zn and N elements mainly act on the B-1 band to regulate the Ti valence state. In-situ DRIFTS and in-situ Raman tests confirmed the function of oxidation state adjustment to promote the C-C coupling on the catalyst surface to produce ethoxy groups, which ultimately led to the production of C2H6.",Applied Catalysis B: Environmental
Thermotolerant and Li2Sn-trapped/converted separators enabled by NiFe2O4 quantum dots/g-C3N4 nanofiber interlayers: toward more practical Li-S batteries,"© 2022 The Royal Society of Chemistry.The battery redox kinetics and operational reliability are two overriding concerns for current Li-S batteries (LSBs). When built up from the coin type to larger cells, LSBs are subjected to major issues of severe Li2Sn polysulfide shuttling and safety hazards if working in overheated conditions. To effectively intercept/solidify these shuttled molecules and elevate the LSB thermostability, we herein propose to make thermotolerant and Li2Sn-trapped/converted separators with functionalized interlayers, where highly catalytic NiFe2O4 quantum dots (QDs) are evenly distributed on intertwined g-C3N4 networks. In resulting separators, fluffy g-C3N4 nanofibers can impede the polysulfide shuttling well via physical confinement and chemisorption as well as enabling smooth charge transfer, while bimetallic QDs facilitate the catalytic conversion of intercepted polysulfides; in addition, using this interlayer will benefit the uniform deposition of Li at anode interfaces. Besides promotion in battery kinetics, our modified separators exhibit a reasonably high heat-resistance temperature beyond 170 °C. As evaluated, LSBs made using the designed separators achieve a large reversible capacity (1483.23 mA h g−1 at 0.2C), salient cycling stability (a capacity decay rate of less than 0.08% in 500 cycles) and good rate capabilities. Even with a higher S loading of ∼6.24 mg cm−2, full LSBs still deliver a remarkable capacity of ∼544 mA h g−1 (84% of initial discharging capacity) after cycling. Our work may trigger great research enthusiasm in making more efficient separators for LSBs with extended storage capacities and improve safety.",Materials Chemistry Frontiers
Waste Office Paper Derived Cellulose-Based Carbon Host in Freestanding Cathodes for Lithium-Sulfur Batteries,"© 2022 Wiley-VCH GmbH.Due to large sulfur (S) content and simple manufacturing techniques, free-standing cathodes for lithium-sulfur (Li−S) batteries are gaining a lot of attention recently. Waste office paper, which is consumed in large quantities annually, was used to make a free-standing paper-based carbon (FPC) substrate, which inherited fiber-like morphology. In addition, reduced graphene oxide (rGO) nanosheets modified FPC (rGO@FPC) host was also prepared by a vacuum filtration method. After S impregnation, the FPC/S and rGO@FPC/S free-standing cathodes were employed in Li−S batteries. The rGO@FPC/S free-standing cathode exhibited extremely competitive electrochemical performance, including a reversible discharge capacity of 315 mAh g−1 at 0.5 C after 500 cycles. This is due to the uniform S distribution, which boosts the utilization ratio, and the significant blocking action for polysulfide ions, which prevents the redox shuttle effect.",ChemElectroChem
Simultaneously Enhancing Catalytic Performance and Increasing Density of Bifunctional CuN3 Active Sites in Dopant-Free 2D C3N3Cu for Oxygen Reduction/Evolution Reactions,"© 2022 American Chemical Society. All rights reserved.Atomically dispersed M-N-C has been considered an effective catalyst for various electrochemical reactions such as oxygen reduction reaction (ORR) and oxygen evolution reaction (OER), which faces the challenge of increasing metal load while simultaneously maintaining catalytic performance. Herein, we put forward a strategy for boosting catalytic performances of a single Cu atom coordinated with three N atoms (CuN3) for both ORR and OER by increasing the density of connected CuN3moieties. Our calculations first show that a single CuN3moiety exhibiting no catalytic performance for ORR and OER can be activated by increasing the density of metal centers, which weakens the binding affinity to *OH due to the lowered d-band center of the metal atoms. These findings stimulate the further theoretical design of a two-dimensional compound of C3N3Cu with a high concentration of homogeneously distributed CuN3moieties serving as bifunctional active sites, which demonstrates efficient catalytic performance for both ORR and OER as reflected by the overpotentials of 0.71 and 0.43 V, respectively. This work opens a new avenue for designing effective single-atom catalysts with potential applications as energy storage and conversion devices possessing high density of metal centers independent of the doping strategy and defect engineering, which deserves experimental investigation in the future.",ACS Omega
Construction of a Hollow Spherical Covalent Organic Framework with Olefin and Imine Dual Linkages Based on Orthogonal Reactions,"© 2022 American Chemical Society.Covalent organic frameworks (COFs) have widespread applications in many fields. However, successful attempts to construct COFs through the formation of two types of covalent bonds remain limited and challengeable. Here, we report the first example of a COF with olefin and imine dual linkages, which was enabled by orthogonal Schiff base reaction and the Knoevenagel condensation. The obtained COF-FD1 exhibits good stability and high selectivity in the fluorescence sensing of Fe3+ ions. Remarkably, this COF features a relatively rare hollow spherical morphology, and a time-dependent study of the continuous transformation from initial solid spherical to hollow spherical structures reveals an Ostwald ripening mechanism. This research not only demonstrates a new approach for the design and synthesis of COFs with dual linkages but also may bring about the possibility of constructing COFs with hollow structures.",Chemistry of Materials
Efficient Trimetallic Metal-Organic-Framework Derived Cu/Fe3C/N−C Electrocatalysts for Oxygen Reduction,"© 2022 Wiley-VCH GmbH.A series of porous N-doped carbon electrocatalysts decorated with Cu and Fe3C, namely Cu/Fe3C/N−C-x-T (T=temperature, and x=Cu/Fe molar ratio), have been prepared for oxygen reduction by pyrolysis of trimetallic Cu/Fe/Zn MOF (MOF=Metal-Organic Framework) precursors with variable Cu/Fe molar ratio. It reveals that the Cu/Fe molar ratio has a great impact not only on the morphologies of Cu/Fe3C/N−C-x-T electrocatalysts but also on the catalytic performance toward oxygen reduction. In 0.1 M KOH solution, the optimal Cu/Fe3C/N−C-1-1000 electrocatalyst can compete with the Pt/C benchmark, showing Eonset (onset potential) of 0.95 V (vs. RHE) and E1/2 (half-wave potential) of 0.85 V (vs. RHE) (RHE=Reversible Hydrogen Electrode). Zinc-air battery with Cu/Fe3C/N−C-1-1000 as the cathode also delivers a maximal power density of 90 mW.cm−2, and demonstrates a little decay in potential after running for 40 hrs at 20 mA.cm−2.",Zeitschrift fur Anorganische und Allgemeine Chemie
