Modulation of the electronic and magnetic properties of pyridinic N-doped graphene with Ni/Cr,"© 2023 World Scientific Publishing Europe Ltd.We have explored the interaction of Ni/Cr with pyridinic N-doped graphene and its influence on the electronic and magnetic characteristics of graphene using a density functional theory (DFT) approach. A 5 × 5 graphene supercell with a single vacancy is modeled. Initially, the concentration of nitrogen atoms is varied in the pyridinic configuration of graphene. The structures, thus obtained, are decorated with Ni/Cr atoms. For configurations without transition metals (TMs), the calculated electronic band structures show a downward shift in Fermi level that decreases as nitrogen concentration increases. Furthermore, it is found that these structures manifest metallic behavior along with some flat bands near the Fermi level. With the addition of Ni/Cr atoms, the movement of the Fermi level toward the conduction band is noticed. The opening of the bandgap at the K-point also varies slightly with the concentration of N atoms and/or the presence of TM atoms. The structures P1N-Ni and P2N-Ni transmute into semiconductors. A significant increase in the magnetic moment is found with the adsorption of the Ni/Cr atom. The analysis of spin-polarized partial density of states proves that higher magnetic moments following TM absorption are mainly on account of the Ni/Cr-3d orbitals and their hybridization with C-2p orbitals. These findings suggest that functionalizing TMs on pyridinic N (Nitrogen)-doped graphene can drastically alter their electronic and magnetic properties.",International Journal of Computational Materials Science and Engineering
"Cobalt/nitrogen co-carved carbon nanorod for efficient Fenton-like reaction: Degradation efficacy, reaction mechanism and singlet oxygen generation","© 2022The Fenton-like process shows promising potential to generate reactive oxygen species for the remediation of increasingly environmental pollutants. However, the slow development of high-activity catalysts with strong stability and low leaching of metal ions has greatly inhibited scale-up application of this technology. Here, cobalt (Co)/nitrogen (N) atom co-curved carbon nanorod (CoNC) containing highly uniform CoNx active sites is developed as a Fenton-like catalyst for the effective catalytic oxidation of various organics via peroxymonosulfate (PMS) activation with high stability. As confirmed by the experimental results, singlet oxygen (1O2) is the dominant active species for the degradation of the organics, with a proportion of 100%. Furthermore, density functional theory calculations indicate that CoN2C2 is the most effective ligand structure with more negative adsorption energy for PMS and the shortest length Co–O bond, while the most reasonable generation pathway for 1O2 was CoN2C2–PMS → CoN2C2–OH* → 2O* → 1O2. Further studies demonstrate that the electron can be transferred from the highest occupied molecular orbitals of the organics to the lowest unoccupied molecular orbitals of the PMS via CoN2C2 action. In addition, the CoNC presents strong resistance to inorganic ions and natural organic matter in the Fenton-like catalysis process. The presence of CoN2C2 active centre can significantly shorten the migration distance of the 1O2 generated from PMS activation, which further enhances the Fenton-like catalytic activity in terms of mineralising various organic contaminants with high efficiency over a wide pH range.",Journal of Materials Science and Technology
Iodine-doped single-atom cobalt catalysts with boosted antioxidant enzyme-like activity for colitis therapy,"© 2022 Elsevier B.V.Doping with heteroatoms was performed as an effective strategy for modulating the electronic structure of single metal atom and further enhancing the catalytic activity of single-atom catalysts (SACs). Single-atom cobalt catalysts anchored on nitrogen-doped carbon (CoCN) have achieved considerable attention in biosensors and anti-inflammation therapy. How to further improve the antioxidant activity of CoCN for satisfying their biomedical applications is a hot topic. Here, we synthesized a series of halogen-doped CoCN, obtained CoCNF, CoCNCl, CoCNBr and CoCNI. We found the catalase (CAT), superoxide dismutase (SOD) and glutathione peroxidase (GPx) -like catalytic activities of CoCNCl, CoCNBr and CoCNI significantly increased than that of CoCN. Especially, CoCNI exhibited the highest antioxidant capacity. Finally, we used CoCNI as the remarkable reactive oxygen species (ROS) eliminating material in protecting cellular against oxidase stress in vitro and colitis therapy in vivo. Our work opens a new insight to design SACs with high catalytic activities by halogen doping for ROS-relative disease therapy.",Chemical Engineering Journal
Unraveling the hierarchical porous structure in natural pollen-derived Fe-containing carbon to address the shuttle effect and dead sulfur problems in lithium-sulfur batteries,"© 2022 Elsevier B.V.Mesoporous carbon–metal composites with the merits of strong adsorption ability over soluble lithium polysulfides (LiPSs), excellent sulfur dispersion, high conductivity, low cost, and rapid catalytic conversion rate to suppress the shuttle effect are promising in lithium-sulfur batteries. However, their application is usually limited by structural collapse and fast fading because of the poorly dispersed metal-based compounds in the mesoporous carbon host during high-temperature synthesis. Herein, a 3D rape pollen-derived carbon (RPDC) containing Fe-based compounds as the sulfur host is prepared through the solid-state reaction of simultaneous carbonization between natural rape pollen and ferrous oxalate. Characterizations confirm that Fe-RPDC composites have stronger physiochemical adsorption and catalytic ability than pure RPDC, Fe-doped commercial activated carbon, and pure Fe3O4. Then, soluble LiPSs are adsorbed, fixed on the surface of the Fe-RPDC composites and catalyzed by Fe-based compounds to reduce the “dead sulfur”. Finally, a mature natural structure-derived hollow carbon-iron compound system is developed. The lithium-sulfur battery assembled using Fe-RPDC as host showed excellent long-term stability and a high electron transport rate. The Fe-RPDC@S composite with 69.6 wt% sulfur content exhibits the highest initial discharge capacity of 955.7 mA h g−1 at a rate of 1 C and can be maintained at 556.3 mA h g−1 even after 150 cycles. The decay rate is only 0.03 % per cycle, and the average Coulomb efficiency is approximately 98 %. Hence, the reasonable design of Fe-RPDC composites is of great significance for promoting the transformation of polysulfide intermediates and chemically anchoring soluble LiPSs to restrain “dead sulfur” and can be used to realize low-cost, green and large-scale production.",Chemical Engineering Journal
Sulfur-induced electron redistribution of single molybdenum atoms promotes nitrogen electroreduction to ammonia,"© 2022 Elsevier B.V.Electrochemical nitrogen reduction reaction (NRR) is considered a sustainable approach that endows NH3 production from N2 and H2O under ambient conditions. Due to the sluggish adsorption/activation of N2 and the strong competition with the hydrogen evolution reaction, advanced NRR electrocatalysts with both high activity and selectivity are required. Herein, we demonstrate a local modulation strategy that simultaneously promotes NRR selectivity and activity on molybdenum-based single atom catalysts (SACs) by sulfur-induced electronic redistribution, delivering a NH3 yield rate of 46.6 μg·h−1·mgcat−1 and a Faradaic efficiency of 28.9% at a potential of − 0.2 V vs. RHE in 0.1 M HCl under ambient conditions. This study provides a promising strategy for synergizing the selectivity and activity of electrocatalysts toward multistep NRR. Moreover, such an atomic-level engineering strategy should be applicable to other SACs in general and may have a major impact on their use in electrocatalytic applications.",Applied Catalysis B: Environmental
Synergistic coupling of Ni3ZnC0.7 decorated with homogeneous multimetal CoNiCuFe nitrogen-codoped carbon matrix as high-entropy catalysts for efficient overall water splitting,"© 2022Due to unique electrical properties and high catalytic efficiency, transition metal nitrogen-codoped carbide (TM–N–C) has attracted tremendous interest as a multifunctional electrocatalyst for water splitting. Unlike traditional single-source modification, herein a novel pomegranate-like high-entropy (HE) electrocatalyst of Ni3ZnC0.7 decorated with homogeneous multimetal (Fe, Co, Cu, and Ni) nitrogen-codoped carbon matrix (Ni3ZnC0.7@CoNiCuFe–NC) is reported. It can be implemented by the simple thermal annealing method of multimetal codoped zeolitic imidazolate framework (ZIF). Benefiting from the synergistic effects of plentiful TM–N–C species, template effect of ZIF and distinct nanoporous structure, HE electrocatalyst Ni3ZnC0.7@CoNiCuFe–NC exhibits outstanding electrocatalytic performance. When applied in strong alkaline electrolyte (1.0 M KOH), the overpotentials of Ni3ZnC0.7@CoNiCuFe–NC present as low as 202 and 97 mV for oxygen evolution reaction (OER) and hydrogen evolution reaction (HER) at 10 mA cm−2 current density. Surprisingly as a bifunctional electrode, it can achieve the low cell voltage of 1.53 V at 10 mA cm−2 current density for overall water splitting, which is comparable to conventional IrO2||Pt/C electrode and superior to the recently reported analogous bifunctional catalysts. Thus, the work proposes the direction for the rational design of homogeneous distribution of TM–N–C material for water splitting in the green hydrogen energy industry.",Journal of Materials Science and Technology
"Synergistic engineering of cobalt selenide and biomass-derived S, N, P co-doped hierarchical porous carbon for modulation of stable Li-S batteries","© 2022Hierarchical porous carbon co-doped with heterogeneous atoms has attracted much attention thanks to sizable internal void space accommodating electrolyte, high-density microporous structure physically confining polysulfides (LPS), and heterogeneous atoms serving as active sites to capture LPS. However, solely relying on carbon material defects to capture LPS proves ineffective. Hence, metal compounds must be introduced to chemisorb LPS. Herein, cobalt ions are in-situ grown on the polydopamine layer coated on the surface of biomass-derived S, N, P co-doped hierarchical porous carbon (SNP-PC). Then a layer of nitrogen-doped porous carbon (MPC) dotted with CoSe nanoparticles is acquired by selenizing. Thus, a strong-polar/weak-polar composite material of SNP-PC studded with CoSe nanoparticles is obtained (SNP-PC@MPC@CoSe). Button cells assembled with SNP-PC@MPC@CoSe-modified separator enable superb long-cycle stability and satisfactory rate performance. An excellent rate capacity of 796 mAh g−1 at a high current rate of 4 C with an ultra-low capacity fading of 0.06% over 700 cycles can be acquired. More impressively, even in a harsh test condition of 5.65 mg cm−2 sulfur loading and 4 μL mg−1 ratio of electrolyte to active materials, the battery can still display a specific capacity of 980 mAh g−1 (area capacity of ∼5.54 mAh cm−2) at 0.1 C. This work provides a promising route toward high-performance Li-S batteries.",Journal of Materials Science and Technology
Deep eutectic solvent induced ultrathin Co4N/N-doped carbon nanosheets self-supporting electrode for boosting hydrogen evolution integrated with biomass electrooxidation,"© 2022 Elsevier B.V.Metal nitrides are considered promising catalysts for the hydrogen evolution reaction integrated with electrooxidation reaction of biomass due to their metal-like properties. However, the synthesis of metal nitrides involves multi-step reactions and requires continuous reactions under a large amount of NH3 atmosphere. Herein, we exploit deep eutectic solvent (DES) to induce in-situ synthesize N-doped carbon (NC) composite Co4N ultrathin nanosheets self-supporting electrode on carbon cloth (Co4N/NC@CC) without additional input NH3 atmosphere. XAFS spectra showed that the strong interaction between Co4N and NC accelerated the electron transport at the interface, and the ultrathin nanostructure of Co4N/NC is beneficial to increasing the catalytic active sites, thereby effectively improving the catalytic performance of Co4N/NC@CC. During the HER process, Co4N/NC@CC only needs 62, 98, and 60 mV overpotentials to reach a current density of 10 mA/cm2 in alkaline, neutral, and acidic electrolytes. When Co4N/NC@CC is used to produce 2,5-furandicarboxylic acid (FDCA) and hydrogen fuel synchronously in alkaline electrolytes, only a low voltage of 1.38 V is required at 10 mA/cm2, and the conversion rate of 5-hydroxymethylfurfural (HMF) is close to 100 % and the selectivity of FDCA is 98.6 %.",Applied Surface Science
A metal-organic framework derived approach to fabricate in-situ carbon encapsulated Bi/Bi2O3 heterostructures as high-performance anodes for potassium ion batteries,"© 2022 Elsevier Inc.Bismuth-based materials are regarded as promising anode materials for potassium ion batteries (PIBs) due to their high theoretical capacity and low working potential. However, the large volume expansion and sluggish kinetics during cycling are major limitations to their practical application. Herein, a unique Bi/Bi2O3-C heterostructure was designed through a simple Bi-metal–organic framework (MOF) modulation-pyrolysis process. X-ray photoelectron spectroscopy, transmission electron microscopy, and X-ray diffraction revealed that the Bi and Bi2O3 can form hetero-particles, which were uniformly embedded in a plate-like carbon skeleton, constructing a Bi/Bi2O3-C heterostructure. The carbon skeleton and the formation of numerous hetero-interfaces between Bi, Bi2O3, and carbon can effectively promote the interfacial charge transfer, shorten the K+ diffusion pathway, and alleviate the volume expansion of Bi/Bi2O3 during potassiation. Consequently, the Bi/Bi2O3-C heterostructure exhibited a high reversible capacity of 426.0 mAh g−1 at 50 mA g−1, excellent cycle performance of 251.8 mAh g−1 after 350 cycles with a capacity retention of 76.6 %, and superior rate capability of 82.7 mAh g−1 at 1 A g−1, demonstrating its promising potential for the application of PIBs anode.",Journal of Colloid and Interface Science
NiMn-based metal-organic framework with optimized eg orbital occupancy as efficient bifunctional electrocatalyst for lithium-oxygen batteries,"© 2022 Elsevier B.V.Rational design and synthesis of highly efficient bifunctional oxygen electrocatalysts is significant for rechargeable lithium-oxygen batteries (LOBs). In this work, a bimetal coupling strategy has been adopted to fabricate Ni/Mn bimetal-organic framework (Ni/Mn-MOF). The LOBs equipped with NiMn0.05-MOF electrocatalyst exhibit excellent performances with large specific capacity of 28,464 mAh/g and extraordinary stability of 524 cycles at 100 mA g−1. Combining with the experimental results and density functional theory (DFT) calculation, it is found that the doped Mn cations enable triggering the redistribution of 3d electron in Ni sites, adjusting eg orbital occupancy of Ni and strengthening the hybridization between Ni −3d and O −2p orbits due to the intense electron coupling between Ni and Mn ions, which greatly optimizes the inherent absorption capability of NiMn0.05-MOF for LiO2 intermediate and thus decreases the energy barriers of oxygen redox reactions.",Chemical Engineering Journal
"Covalent organic frameworks for photocatalysis: Synthesis, structural features, fundamentals and performance","© 2022 Elsevier B.V.Covalent organic frameworks (COFs) are a new class of crystalline porous materials obtained from covalently attached organic building units. By virtue of the unique characteristics such as periodic and well-defined structures, low-density, high surface area, excellent stability as well as desired semiconductor-like behavior, COFs have gained tremendous attention for functional applications in many fields, especially in photocatalysis. In this review, we summarize the different methods for the synthesis of COFs, such as solvothermal synthesis, microwave synthesis, ionothermal synthesis, room temperature solution synthesis, mechanochemical synthesis and interfacial synthesis firstly. Then, the structural features of COFs including diversity, tailorability, stability and porosity are provided. Afterwards, the fundamentals and advantages of COFs for photocatalysis are briefly introduced. Following this, the photocatalytic applications of COF-based materials toward H2 production, CO2 reduction, organic transformation and pollution degradation are discussed. Meanwhile, a series of strategies are highlighted to improve photocatalytic performance for the understanding of the structure-property relationship in this part. Finally, the remaining challenges and prospects on further development of efficient COF-based photocatalysts are indicated.",Coordination Chemistry Reviews
