Structural screening and descriptor exploration of black phosphorus carbide supported bifunctional catalysts for lithium-sulfur batteries,"© 2022 Elsevier Inc.Developing optimal catalysts, to suppress the shuttling of lithium polysulfides (LiPSs), and serving as bifunctional catalyst with fast discharge–charge reaction kinetics, are essential for the practical applications of Li-S batteries. Herein, based on density functional theory (DFT) calculations, single-atom catalysts formed by embedding 3d transition metals (TMs) into the nitrogen doped defective black phosphorus carbide (TM@N4-CP) are systematically explored toward fast kinetics in Li-S batteries. Remarkably, V@N4-CP, possessing excellent metallic features, outstanding structural stability, suitable binding and easy diffusion for LiPSs, eventually stands out as the promising bifunctional electrocatalyst. Our results unveil that d-p orbital hybridization between transition metal (TM) atom and sulfur species is accompanied by weakened surrounding Li-S bonds. Consequently, the formation of TM-S bonds not only ensures inhibition of LiPSs shuttling, but also promotes the dissociation of Li2S. With the analysis of correlation map of key parameters, the ICOHP values of TM-S bonds and adsorption energy of *Li2S are identified and proposed as descriptors for fast screening towards fast reaction kinetics. Our work shows a feasible strategy for the rational design and retrieval of the decisive feature of active catalysts for Li-S batteries.",Journal of Colloid and Interface Science,10.1016/j.jcis.2022.10.098
Synthesis and application of single-atom catalysts in sulfur cathode for high-performance lithium–sulfur batteries,"© 2022Lithium–sulfur (Li-S) batteries are regarded as one of the most promising energy storage devices because of their low cost, high energy density, and environmental friendliness. However, Li-S batteries suffer from sluggish reaction kinetics and serious “shuttle effect” of lithium polysulfides (LiPSs), which causes rapid decay of battery capacity and prevent their practical application. To address these problems, introducing single-atom catalysts (SACs) is an effective method to improve the electrochemical performance of Li-S batteries, due to their high catalytic efficiency and definite active sites for LiPSs. In this paper, we summarized the latest developments in enhancing the electrochemical performance of cathode for Li-S batteries through introducing different SACs. Furthermore, we briefly introduced the catalytic mechanism of SACs and discussed the strategies of synthesizing SACs, including the spatial confinement strategy and the coordination design strategy. Finally, the challenges and prospects in this field are proposed. We believe that this review would help to design and fabricate high-performance Li-S batteries via introducing SACs and boost their practical application.",Chinese Chemical Letters,10.1016/j.cclet.2022.01.014
"Efficient polysulfide conversion by Fe-N/C active sites anchored in N, P- doped carbon for high-performance lithium-sulfur batteries","© 2022Lithium-Sulfur batteries have become one of the most promising energy storage systems due to their ultra-high energy density, environmental friendliness, and low cost. However, the sluggish redox kinetics of lithium polysulfide (LPS) and its shuttling effects have impeded the practical applications of Li-S batteries. Single-atom catalysts (SACs) with atomically dispersed metal-based sites have been applied as a promising candidate for electrocatalysts for Li-S batteries. Herein, we design and demonstrate a single atom Fe-N/C catalyst impregnated with N, P–doped carbon (FeN6–NPC), N, P–doped carbon material (NPC), as well as Fe2P nanoparticles anchored with N, P–doped carbon (Fe2P–NPC). In-depth XANES and FT-EXAFS analyses were used to characterize the precise architecture of SACs containing Fe-N/C active sites. The electrochemical results of SACs with Fe-N/C active site configuration reveal the highest catalytic lithium polysulfide conversion compared to the NPC and nanoparticle anchored samples. In addition, the SACs enable FeN6–NPC/S electrode to deliver a high discharge capacity of 1115 mAh g−1 at 0.1 C and maintain 570 mAh g−1 after 200 cycles with excellent Columbic efficiency (>99%). This work successfully develops organic-based strategies for SACs that suppress lithium polysulfide formation, improve cyclic stability, and increase Coulombic efficiency for lithium-sulfur batteries.",Journal of Alloys and Compounds,10.1016/j.jallcom.2022.166132
Double-active-site enables 2D B2S and B2S3 catalyst with suppressed shuttle effect and improved polysulfides redox kinetics in lithium-sulfur batteries: A first-principles study,"© 2022 Elsevier B.V.The sluggish transformation kinetics of lithium polysulfides (LiPSs) and the notorious shuttle effect induced by the emergence of highly soluble LiPSs have become the main obstacles preventing the application of lithium-sulfur batteries. The development of bifunctional catalysts capable of accelerating the LiPSs redox kinetics and anchoring these soluble LiPSs is highly desirable for achieving improved cycling performance and Coulombic efficiency. Herein, a two-dimensional B2S/B2S3 catalyst with atomically dispersed boron and sulfur sites was investigated as a potential additive to boost the anchoring of soluble LiPSs and the subsequent LiPSs transformation reaction. Based on first-principles calculations, we demonstrated that the adsorption strengths of soluble LiPSs on B2S/B2S3 monolayers are neither strong nor weak. This effectively inhibits the dissolution of LiPSs while retaining their structural integrity. Importantly, B2S/B2S3 exhibits remarkable catalytic activity toward the liquid-solid (Li2S4 to Li2S2) and solid-solid (Li2S2 to Li2S) reactions in the discharging process as well as the decomposition of Li2S in the charging process. This is crucial for achieving improved rate performance. Moreover, a high Li-ion mass transfer efficiency on B2S and B2S3 was achieved with Ebar values of 0.43 and 0.41 eV, which is beneficial for reducing diffusion-dependent polarization issues. Our results provide an alternative route for developing advanced sulfur cathode catalysts with a suppressed shuttle effect and desirable rate performance.",Applied Surface Science,10.1016/j.apsusc.2022.154295
Atomically Dispersed Fe-N4 Sites and Fe3C Particles Catalyzing Polysulfides Conversion in Li-S Batteries,"© 2022, Jilin University, The Editorial Department of Chemical Research in Chinese Universities and Springer-Verlag GmbH.Lithium-sulfur(Li-S) batteries have been puzzled by the “shuttle effect”. In the recent years, catalytic materials present a huge potential for solving this problem. However, the exploitation for catalytic activity was still challenging in Li-S batteries. In this article, we put forward a single atom catalyst (SAC) of FeN4 coupled with Fe3C on the N-doped carbon (FeN4/Fe3C@NC) by one-step pyrolysis method. The FeN4 and Fe3C synergistically catalyze the polysulfides conversion when the N-doped carbon provides the high conductive three-dimensional skeleton in Li-S batteries. As a result, the FeN4/Fe3C@NC shows a specific capacity of 1100 mA·h/g at 0.2 C(1 C=1675 mA/g). In addition, the FeN4/Fe3C@NC maintains 99.01% of the pristine specific capacity after 100 cycles at 0.5 C, indicating the improved electrochemical performance in Li-S batteries. This work sheds new lights on the design of engineering catalysts for developing high-performance Li-S batteries. [Figure not available: see fulltext.]",Chemical Research in Chinese Universities,10.1007/s40242-022-2222-7
Electronic structure adjustment of lithium sulfide by a single-atom copper catalyst toward high-rate lithium-sulfur batteries,"© 2022Electrocatalytically reducing the energy barrier for Li2S deposition/dissociation is a promising strategy for high-rate Li-S batteries. However, the catalytic sites would be covered by the insulating Li2S product during discharge, which deteriorates the catalytic activity. Here, suggested by first-principles calculations, single-atom copper (SA-Cu) was screened out to endow the insulator-to-metal transition of adsorbed Li2S in view of the electronic structure. In addition to the thermodynamically reduced redox energy barrier, metallic Li2S nuclei deposited on SA-Cu decorated nitrogen-doped carbon fiber foam (SA-Cu@NCNF) with favorable electronic transport present 3D spherical clusters rather than conventional 2D lateral morphology by continuous 3D nucleation and growth. The Li2S deposition capacity and the catalytic efficiency of Li2S-covered catalytic sites are thus greatly improved. As a result, SA-Cu@NCNF based Li-S cells with a sulfur loading of 4 mg cm−2 retained an areal capacity of 1.60 mAh cm−2 at 5 C after 500 cycles (0.038% decay per cycle). A competitive areal capacity of 8.44 mAh cm−2 was obtained at 0.2 C with a sulfur loading of 10 mg cm−2. The demonstration of the distinctive design of catalysts to adjust the electronic structure of adsorbed Li2S paves the way for developing high-rate and long-life Li-S batteries.",Energy Storage Materials,10.1016/j.ensm.2022.07.024
Ultrahigh-Content Co-P Cluster as a Dual-Atom-Site Electrocatalyst for Accelerating Polysulfides Conversion in Li–S Batteries,"© 2022 Wiley-VCH GmbH.Single-atom catalysts (SACs) show high catalytic efficiency in accelerating conversion of lithium polysulfides (LiPS), and are thus promising for suppressing the shuttle effect observed in lithium−sulfur batteries (LSBs); however, single-atom catalytic sites with low content of catalysts largely restrict their catalytic effect. Herein, a Co-P cluster supported by a N-doped carbon matrix (Co-P cluster/NC) with atomic-level dispersion and an ultrahigh content (25.5 wt.%) of Co atoms is fabricated via an in situ low-temperature phosphorization strategy and employed as a dual-atom-site catalyst for catalyzing LiPS conversion. The Co-P cluster/NC with abundant unsaturated Co-P coordination provides dual-atom sites of Co and P to dynamically adsorb/desorb sulfur species and Li+ ions, respectively, synergistically promoting the conversion of LiPS. The dual-atom-site catalytic mechanism is evidenced by substantial characterizations including X-ray absorption fine structure measurements and density functional theory calculations. Consequently, the S@Co-P cluster/NC cathode shows superior cycling and rate performance. Even at a high sulfur loading of 6.2 mg cm−2, a high areal capacity of 6.5 mAh cm−2 that surpasses most commercial lithium–ion batteries can be achieved. This study opens a new avenue in the development of advanced catalysts with new catalytic mechanisms for high-performance LSBs.",Advanced Functional Materials,10.1002/adfm.202207579
"Sacrificial Template Method to Synthesize Atomically Dispersed Mn Atoms on S, N-Codoped Carbon as a Separator Modifier for Advanced Li-S Batteries","© 2022 American Chemical Society.Efficient and durable electrocatalysts are important for polysulfide conversion in high-performance Li-S batteries. Herein, we report a sacrificial template strategy to synthesize a sulfur/nitrogen-codoped carbon-supported manganese (Mn) single-atom catalyst (Mn/SNC). The synthesis is enabled by fabricating a novel precursor, i.e., cadmium sulfide (CdS) wrapped with Mn ion-impregnated polyporrole (CdS@Mn-PPy), and subsequent pyrolysis. During pyrolysis, the CdS template is decomposed into Cd and S, PPy-derived carbon is doped with N and S, and Mn ions are reduced to Mn atoms, forming Mn-N active sites. The evaporation of Cd atoms/clusters creates abundant pores in the carbon substrate to expose the active sites and facilitate ion transport, and S atoms can form edge C-S-C bonds to improve the activity of Mn-N sites. Benefiting from the above advantages, the Mn/SNC catalyst markedly enhances the performance of Li-S batteries, delivering an initial capacity of 1563.7 mAh g-1 at 0.1C, a capacity decay of only 0.037% per cycle after 1600 cycles at 2C; a capacity of 1045.1 mAh g-1 at a high sulfur loading of 7.44 mg cm-2 at 0.2C, and a capacity retention of 73.1% after 180 cycles. This work provides a strategy that may benefit further the rational design and development of single-atom catalysts for application in renewable energy.",ACS Applied Materials and Interfaces,10.1021/acsami.2c12114
Coaxially grafting conjugated microporous polymers containing single-atom cobalt catalysts to carbon nanotubes enhances sulfur cathode reaction kinetics,"© 2022 Elsevier B.V.Conjugated microporous polymers (CMPs) hold great potential for use in energy related applications due to their extended π-conjugated structures, tunable pore sizes, and modular molecular functionalities. Herein, we report a novel composite material (labeled as Co-CMP-MWNTs) that consists of a CMP containing Co single-atom catalysts (Co SACs) and being coaxially grafted to multi-walled carbon nanotubes (MWNTs), and show that the material synergistically promotes the cathode reaction kinetics in lithium−sulfur (Li−S) batteries. The Co-CMP-MWNTs are synthesized by coupling 2,4,6-tris(4-ethynylphenyl)-1,3,5-triazine to a dibromobipyridine-Co complex in the presence of bromopyrimidinyl-functionalized MWNTs. The composite features a conductive MWNT-based core and a CMP-based shell that contains nitrogen as well as Co. Cs-corrected high-resolution transmission electron microscopy and X-ray absorption near-edge structure (XANES) spectroscopy reveal that the Co species exist as single atoms. Additional XANES data coupled with density functional theory calculations elucidate the adsorption interactions formed between the Co SACs and various sulfur species as well as their electrocatalytic effects. Li−S cells prepared using Co-CMP-MWNTs as a cathode host material exhibit excellent performance in terms of specific capacity (1485 mA h g−1 at 0.1 C), rate capability (602 mA h g−1 at 3 C), and cycling stability (510 mA h g−1 at 0.5 C after 1000 cycles, which corresponds to a capacity decay of 0.050% per cycle). Collectively, the results demonstrate that SACs can be prepared under benign conditions and used to enhance sulfur cathode reaction kinetics. The methodology described may be extended to enable the use of SACs in other contemporary energy conversion technologies.",Chemical Engineering Journal,10.1016/j.cej.2022.136546
Multifunctional Atomic Molybdenum on Graphene with Distinctive Coordination to Solve Li and S Electrochemistry,"© 2022 Wiley-VCH GmbH.The improvement of lithium–sulfur batteries is still impeded by notorious shuttling effect and sluggish kinetics on the S cathode, and rampant Li dendrite formation on the Li anode makes it worse. Herein, a type of single-atom dispersed Mo on nitrogen-doped graphene (Mo/NG) with a distinctive Mo-N2O2-C coordination structure first serving as a multifunctional material is designed by a structure-oriented strategy to solve Li and S electrochemistry. Mo/NG with superior intrinsic properties endowed by the unique coordination configuration adsorbs soluble polysulfides and promotes bidirectional conversion of LiPSs at the cathode side. Meanwhile, the suitable binding strength of Mo/NG with lithium ions endows it with an attractive lithiophilic feature. Specifically, Mo/NG is able to work as the adaptor to redistribute lithium ions on the interface of separator and homogenize the lithium ion flux. Due to the suitable binding ability with Li+, it does not interfere with the diffusion of lithium ions across and provides tunnels exclusive to lithium ions to generate fast and homogeneous flux. Ascribed to such unique multifunctionality, Li–S batteries assembled with Mo/NG exhibit excellent electrochemical performance including long cycling stability over 1000 cycles and high areal capacities under high sulfur mass loading.",Small,10.1002/smll.202203947
