Three-dimensional LLZO/PVDF-HFP fiber network-enhanced ultrathin composite solid electrolyte membrane for dendrite-free solid-state lithium metal batteries,"© 2022 Elsevier B.V.Composite solid electrolyte (CSE) membranes for lithium metal batteries attract great attention with excellent safety and suitable flexibility. Herein, we construct a polyethylene oxide-based ultrathin CSE membrane that is enhanced by a 3D fiber network composed of Poly (vinylidene fluoride-co-hexafluoropropylene) fibers and Li7La3Zr2O12 particles directly fabricated on the cathode. The 3D fiber network facilitates the rapid transport and uniform deposition of Li+, and enhances the mechanical strength of the electrolyte membrane, thereby effectively inhibiting the growth of lithium dendrites. Moreover, the unique preparation method reduces the interfacial impedance, and it can also greatly reduce the electrolyte thickness, which is beneficial to increasing the energy density of the battery. The lithium symmetric battery shows stable cycling over 1500 h under 0.2 mA cm−2. Li/LiFePO4 battery with the CSE membrane exhibits a high reversible capacity of 155.8 mAh·g−1 at 0.2 C for 100 cycles and the capacity retention rate is 98.0%. Furthermore, the obtained CSE membrane has a broadened electrochemical window of 4.83 V, and the reversible capacity of the Li/LiNi0.8Co0.1Mn0.1O2 battery is 160.6 mAh·g−1 at 0.2 C for 100 cycles. These findings showed that the structure proposed here is a viable electrolyte strategy for advanced solid-state lithium metal batteries.",Journal of Membrane Science,10.1016/j.memsci.2022.121095
A room-temperature high performance all-solid-state lithium-sulfur battery enabled by a cross-linked copolymer@ceramic hybrid solid electrolyte,"© 2022 Elsevier LtdThe use of solid electrolytes (SEs) is a key strategy for enabling the intrinsically safe operation of batteries comprising lithium metal anodes as they suppress the growth of lithium dendrites. Among the different types of SEs, polymer-based hybrid electrolytes (HEs) are highly promising due to their synergetic properties from the constituent polymer matrix and inorganic filler particles. However, the lithium-ion diffusion pathway in HEs is still dominated by the polymer, especially for polyethylene oxide (PEO)-based HEs. The main limitation of PEO is the strong temperature dependence of its ionic conductivity, preventing its use at room temperature (RT). Herein, a cross-linked polymer-based HE with a high ionic conductivity of 1.1 × 10-3 S cm-1 at RT is presented. The novel cross-linked copolymer, composed of pentaerythritol tetraacrylate (PETEA), tri(ethylene glycol) divinyl ether (TEG), and lithium bis(trifluoromethanesulfonyl)-imide (LiTFSI), serves as a matrix to achieve satisfactory mechanical strength. Integrated Li7La3Zr2O12 (LLZO) particles are covalently bound to the copolymer by a prior surface modification step. To demonstrate the suitability of the developed HE for RT application in advanced battery systems, a solid-state lithium-sulfur cell is built which exhibits an initial specific capacity of 688 mA h g-1. The ability of this HE to operate at RT can be expected to boost the development of safe all-solid-state batteries for many applications.",Nano Energy,10.1016/j.nanoen.2022.107912
Ameliorating the electrode/electrolyte interface compatibility in Li-ion solid-state batteries with plasticizer,"© 2022 Elsevier B.V.Composite solid electrolytes (CSEs) based on poly (vinylidene fluoride-co-hexafluoropropylene) (PVDF-HFP)/LiTFSI/LLZO/different wt% of tetra-ethylene-glycol-dimethyl-ether (TEGDME) were prepared using the facile solution casting method or phase-inversion method. X-ray diffraction (XRD) and Fourier transform infrared (FTIR) spectroscopy measurements were used to identify the structures and complexations of the prepared electrolyte films. The morphology and thermal stability of the electrolytes were investigated using field-emission scanning electron microscopy (FE-SEM) and thermogravimetric analysis (TGA). The ionic conductivity of all electrolyte films was analyzed using AC impedance analysis between 298 and 353 K. The data supports that the 30 wt% TEGDME CSE exhibited the highest ionic conductivity (6.2 × 10–5 S cm–1 at 25 ℃ and 3.6 × 10–4 S cm–1 at 60 ℃) and a wide electrochemical window (4.87 V vs. Li/Li+). A solid-state battery with LiFePO4/Li-metal was cycled using the 0.1 C rate at 60 °C for 100 cycles, resulting in a high initial discharge capacity of 157 mAh g–1 with a good coulombic efficiency of> 99%. This admirable electrochemical performance can be attributed to the high ionic conductivity of the electrolyte and its electrochemical stability. We emphasize the significant role of the TEGDME plasticizer in the performance of the CSE as well as the ionic conductivity and compatibility of the electrolyte with the electrode in the solid-state battery. All encouraging results confirm that the CSE has the potential to be a high-voltage electrolyte for Li-ion solid-state batteries.",Journal of Alloys and Compounds,10.1016/j.jallcom.2022.167077
Rationally designing composite gel polymer electrolyte enables high sulfur utilization and stable lithium anode,"© 2022 Elsevier B.V.The lithium-sulfur battery is an attractive energy-storage device with low cost and high energy density. However, its development is still restricted by “shuttle effect”, lithium dendrite growth and safety problem. Herein, a novel PEO-PAN-LLZO composite gel polymer electrolyte (CGPE) was designed to overcome these issues. A porous composite membrane with excellent mechanical and interfacial properties was formed after casting dispersion of PAN, PEO, LLZO sheets, which can effectively absorb electrolyte, inhibit “shuttle effect” and protect lithium anode. A conductive acetylene black layer was coated on the membrane to further hinder the migration and enhance the redox kinetics of polysulfides. The CGPE based lithium-sulfur battery displays remarkably high specific capacities (1459 and 942 mAh/g at 0.1 and 1C respectively) and outstanding cycling performance (555 mAh/g at 1C after 500 cycles, average decay/cycle of 0.082%). The unique CGPE is promising for the practical application of high-performance lithium-sulfur battery.",Chemical Engineering Journal,10.1016/j.cej.2022.138195
All-solid-state lithium batteries featuring hybrid electrolytes based on Li+ ion-conductive Li7La3Zr2O12 framework and full-concentration gradient Ni-rich NCM cathode,"© 2022 Elsevier B.V.Solid hybrid electrolytes (SHE) composed of Li+-conductive oxides and polymer electrolytes combine the beneficial properties of ceramic and polymeric materials. In this study, we designed and synthesized a three-dimensional Li6.4La3Zr2Al0.2O12 (LLZO) framework with a continuous ion-conduction pathway. This 3D framework was hybridized with a poly(Ɛ-caprolactone)-based solid polymer electrolyte to obtain a free-standing and flexible film for an all-solid-state lithium battery. The hybrid electrolyte exhibited high ionic conductivity, good mechanical strength, a high transference number, and excellent electrochemical stability compared with those of solid polymer electrolytes. Symmetric Li/SHE/Li cells exhibited good cycling stability without short-circuiting, indicating a uniform plating/stripping of lithium and good interfacial properties toward lithium metal. LiNi0.78Co0.10Mn0.12O2 with a full-concentration gradient (FCG78) was synthesized and investigated for applications in all-solid-state batteries. Coupled with the unique compositional and morphological properties of FCG78, the all-solid-state Li/FCG78 cell featuring SHE delivered a high initial discharge capacity of 172.4 mAh/g and exhibited good cycling stability with a capacity retention of 84.3 % after 200 cycles at 0.5 C. Our results demonstrate that the solid hybrid electrolyte based on the Li+-conductive LLZO framework combined with a full-concentration gradient Ni-rich layered NCM cathode are promising materials for designing all-solid-state lithium batteries.",Chemical Engineering Journal,10.1016/j.cej.2022.138043
Synergistic effect of Ga and Yb co-doping on the structure and ionic conductivity of Li7La3Zr2O12 ceramics,"© 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.Li7La3Zr2O12 (LLZO) has shown excellent electrochemical performance and chemical stability. In this work, Li6.4Ga0.2La3-xYbxZr2O12 (0 ≤ x ≤ 0.1) has been synthesized by solid-state reaction method. The effect of Ga and Yb co-doping on the crystal structure, morphology, densification, and electrical performance was investigated. The doping with Ga3+ stabilized the cubic phase while the doping with Yb3+ optimized Li+ transport channel size and accelerated the densification of the ceramics. Li6.4Ga0.2La2.95Yb0.05Zr2O12 (relative density 94.8%) exhibited the highest total conductivity (8.96 × 10−4 S·cm−1 at 30 °C) and the lowest activation energy of 0.28 eV. Meanwhile, Li6.4Ga0.2La2.95Yb0.05Zr2O12 showed high mobility (1.36 × 10−6 cm2 V−1 s−1), diffusion coefficient (3.18 × 10−8 cm2 s−1) and high hopping rate of lithium ions (5.0 × 106 rad s−1) at 0 °C. The high discharge capacity and capacity retention of LiFePO4/Li6.4Ga0.2La2.95Yb0.05Zr2O12/Li solid-state batteries indicate that Ga and Yb co-doped Li7La3Zr2O12 ceramic should be a promising electrolyte.",Ionics,10.1007/s11581-022-04787-x
In situ polymerization infiltrated three-dimensional garnet-based framework for quasi-solid lithium metal batteries,"© 2022 Elsevier LtdSolid-state lithium metal batteries (LMBs) using nonflammable solid electrolytes (SEs) are considered to be the new generation of energy storage devices with high energy density and good safety. However, many challenges, such as insufficient room-temperature ionic conductivity of SEs and tremendous electrode-electrolyte interfacial impedance, hinder the commercialization of solid-state LMBs. Here, we reported a novel composite solid electrolyte (CSE), consisting of a three-dimensional (3D) Li6.25Ga0.25La3Zr2O12 (LLZO) nanoparticle-based framework and filled tripropylene gycol diacrylate (TPGDA)-based gel electrolytes, in which the gel electrolytes are prepared by in situ polymerization of the TPGDA monomer in the condition of liquid electrolyte. Owing to the high content of LLZO powder and PVDF binder, the nonflammable CSE shows superior thermal stability and outstanding mechanical property. Moreover, the CSE exhibits high room-temperature ionic conductivity (1.66 × 10−3 S⋅cm−1) due to the large amount of liquid electrolyte loaded in the 3D framework. Besides, in-situ gel electrolytes facilitate the interfacial contact between electrolyte and lithium anode. Therefore, the LiFePO4/CSE/Li cell exhibits excellent cycling stability at room temperature, delivering a capacity retention ratio of 86.5% after 350 cycles at 1 C. This work can provide guidance in designing CSEs for high-performance lithium metal batteries.",Electrochimica Acta,10.1016/j.electacta.2022.141353
Influence of the particle size of the Ni-rich cathode material on the electrochemical properties for all solid-state batteries,"© 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.Recently, all-solid-state lithium ion batteries (ASLBs) have emerged as the next generation lithium ion batteries due to safety issue for electric vehicles and energy storage system. This application can be achieved through layered structure cathode material of Li[Ni0.8Co0.1Mn0.1]O2, (NCM811) with high specific capacity and composite solid electrolyte. The composite solid electrolyte is composed by poly ethylene oxide (PEO) based polymer solid electrolyte and garnet type oxide based Li6.75La3Zr2Al0.25O12, (LLZO-Al) solid electrolyte. Here, in this article, we describe the effect of improved electrochemical performance on the controlling particle size of Ni-rich cathode material for ASLBs with oxide-based solid electrolyte. Therefore, the structure and electrochemical performance of Ni-rich cathode material in ASLBs were investigated by using powder X-ray diffraction analysis, Brunauer–Emmett–Teller adsorption experiments, electrochemical impedance spectroscopy, and galvanostatic measurements.",Ionics,10.1007/s11581-022-04756-4
Doped superior garnet electrolyte toward all-solid-state Li metal batteries,"© 2022Li7La3Zr2O12 (LLZO) garnets are one of the most promising solid electrolytes for next generation all-solid-state Li metal batteries due to their high ionic conductivities, chemical stabilities to metallic lithium and wide electrochemical window. Single and co-doped LLZO with Ga, Al, Nb were prepared by solid state reaction and sintered under oxygen atmosphere. Lithium ion conduction properties were investigated through electrochemical impedance spectroscopy in the temperature range of −25 °C–45 °C. Among the doped compositions, Ga doped single phase cubic LLZO shows the highest ionic conductivity of 1.49 × 10−3 S/cm at room temperature and activation energy of 0.27eV, which is one of the best results reported in literature so far in terms of doped garnet structured LLZO. All single or co-doped LLZO samples exhibit low electronic conduction which are 4–5 orders of magnitude lower than their corresponding ionic conductivities. Ga-doped garnet LLZO of high ionic conductivity and negligible electronic conduction makes it a superior solid electrolyte for all-solid-state Li metal batteries.",Physics Open,10.1016/j.physo.2022.100119
Ultrafast high-temperature sintering of Li7La3Zr1.75Nb0.25Al0.15O12 (LLZO),"© 2022 Elsevier LtdRapid sintering of Li7La3Zr1.75Nb0.25Al0.15O12 (LLZO) is reported. The selection of heating elements, the effect of powder preparation and MgO additions in rapid sintered LLZO are described. Annealing LLZO powder at 750 ºC for 2 h in argon immediately before pressing helped to minimize porosity. A 15–20 s hold at 1372 ºC was sufficient to achieve densities >97%. The total sintering schedule time for rapid sintering represents a 99.7% decrease in sintering time compared to conventional sintering. At 70 °C under a pressure of 4.12 MPa cells had a critical current density of 1020 µA/cm2.",Journal of the European Ceramic Society,10.1016/j.jeurceramsoc.2022.08.054
