Unveiling the synergistic catalysis essence of trimetallic Fe-Co-Ni phosphides for lithium–sulfur chemistry,"© 2022 Elsevier B.V.Lithium–sulfur batteries (LSBs) have emerged as prospective candidates for energy storage systems due to their high energy density and low cost of sulfur. However, the fast capacity degradation stemming from the fatal lithium polysulfide (LiPS) shuttle and sluggish redox reaction kinetic acts as the bottleneck for the real implementation of LSBs. Herein, we propose a well-designed nanosphere functionalized with trimetallic Fe-Co-Ni phosphides (FCNP) to host sulfur and promote the sulfur redox reactions. The well-dispersed trimetallic phosphides can not only enhance polarity and electron conductivity but also supply sufficient conversion sites and short sulfur evolution pathway. Therefore, the elaborated trimetallic phosphides on carbon nanosphere effectively inhibits LiPSs escaping from the cathode to anode. Further, the systematic electrochemical measurements and synchrotron X-ray three-dimensional nano-computed tomography (X-ray 3D nano-CT) results provide clear evidence that FCNP as a bidirectional electrocatalyst smoothly accelerates the generation and decomposition of Li2S. Accordingly, the S/FCNP cathode exhibits a remarkable discharge capacity of 1172.3 mA h g−1 at 0.2C in coin cell, 1164.0 mA h g−1 at 0.1C in pouch cell and the favorable cycling performance.",Chemical Engineering Journal,10.1016/j.cej.2022.139638
N doped FeP nanospheres decorated carbon matrix as an efficient electrocatalyst for durable lithium-sulfur batteries,"© 2022Rational design and synthesis of multifunctional electrocatalysts with high electrochemical activity and low cost are significantly important for new-generation lithium-sulfur (Li-S) batteries. Herein, N-doped FeP nanospheres decorated N doped carbon matrix is successfully synthesized by facile one-pot pyrolysis and in-situ phosphorization technique to mitigate the conversion kinetics and suppress the shuttle effect. The large specific surface area with mesopores can incorporate up to 81.5% sulfur, with the conductive carbon and nitrogen co-matrix providing Li+/e- passage and fastening the redox kinetics. The remarkable adsorption properties and the electrocatalytic activity through physical confinement and chemical immobilization is thoroughly verified. Consequently, the FeP/C[sbnd]N@S deliver a high reversible capacity of 1183 mAh g−1 at 0.1 C compared to Co/P/C[sbnd]N@S (961 mAh g−1); whereas, at 1 C, a negligible decay rate of 0.04% is observed for 1000 cycles, possessing outstanding cycling stability and rate capability. Hence, the cost-effective in-situ phosphorization strategy to synthesize FeP/C[sbnd]N@S as an efficient nanoreactor is constructive to be applied in Li-S batteries.",Journal of Colloid and Interface Science,10.1016/j.jcis.2022.09.126
Flower-like spherical Ni-benzimidazole derived Ni-NiO-C complexed with carbon nanotubes as electrocatalysts for lithium-sulfur battery,"© 2022 Elsevier B.V.In this work, we design and fabricate a novel Ni-NiO-C@CNT composite with synergetic features combining a new metal organic framework-Ni-Benzimidazole (Ni-PhIm) derived Ni-NiO-C and high conductive carbon nanotube (CNT). The Ni-NiO-C was synthesized by carbonizing Ni-PhIm, which used benzimidazole as the organic ligand. The carbon skeleton of Ni-NiO-C provides numerous active sites for adsorbing and chemical anchoring for polysulfides. Meanwhile, the uniformly dispersed Ni and NiO in Ni-NiO-C ensure the integrity of the internal redox process. In addition, the interconnected CNT networks offer good conductivity throughout the entire structure, contributing to fast electron transfer. Hence, the Ni-NiO-C@CNT@S electrode exhibits a remarkable initial specific capacity of 1468 mAh g−1 at 0.2 C, and maintains 904.4 mAh g−1 even at a high discharge rate of 2 C. Moreover, Ni-NiO-C@CNT@S presents outstanding cycle stability with capacity retention of 76.20% and a decay rate of 0.05% per cycle after 500 cycles at 2 C. This work provides a new avenue and an excellent example to design and fabricate cathode material of LSB with outstanding ion/charge transmissive capability to enhance electrochemical performance.",Journal of Alloys and Compounds,10.1016/j.jallcom.2022.167402
Emerging catalytic materials for practical lithium-sulfur batteries,"© 2022 Science Press and Dalian Institute of Chemical Physics, Chinese Academy of SciencesHigh-energy lithium-sulfur batteries (LSBs) have experienced relentless development over the past decade with discernible improvements in electrochemical performance. However, a scrutinization of the cell operation conditions reveals a huge gap between the demands for practical batteries and those in the literature. Low sulfur loading, a high electrolyte/sulfur (E/S) ratio and excess anodes for lab-scale LSBs significantly offset their high-energy merit. To approach practical LSBs, high loading and lean electrolyte parameters are needed, which involve budding challenges of slow charge transfer, polysulfide precipitation and severe shuttle effects. To track these obstacles, the exploration of electrocatalysts to immobilize polysulfides and accelerate Li-S redox kinetics has been widely reported. Herein, this review aims to survey state-of-the-art catalytic materials for practical LSBs with emphasis on elucidating the correlation among catalyst design strategies, material structures and electrochemical performance. We also statistically evaluate the state-of-the-art catalyst-modified LSBs to identify the remaining discrepancy between the current advancements and the real-world requirements. In closing, we put forward our proposal for a catalytic material study to help realize practical LSBs.",Journal of Energy Chemistry,10.1016/j.jechem.2022.08.027
Multi-function hollow nanorod as an efficient sulfur host accelerates sulfur redox reactions for high-performance Li-S batteries,"© 2022 Elsevier Inc.The “shuttle effect” of lithium polysulfides (LiPSs) leads to loss of active materials and the deterioration of cycle stability, which seriously restricts the practical progress of lithium-sulfur (Li-S) batteries. The diffusion of soluble discharge intermediate is the root cause of the above problems. Herein, we synthesized a porous organic framework material (HUT-8) based on triazine network, the polar groups above the hollow structure can not only adsorb LiPSs through electron donating effect, but also anchored cobalt (II) ions provide a large number of binding sites for the in-situ growth of CoS2. This ensured maximized exposure of catalytic centre and improve their interactions with sulfur redox species under the confinement of mesopores, which can catalytically accelerate capture/diffusion of LiPSs and precipitation/decomposition of Li2S. Based on the synergistic effect of the composite materials, the CoS2-HUT-8/S cathode maintained a capacity of 583 mAh g−1 after 500 cycles at 1 C, and a minimum capacity fading rate of 0.046% per cycle. A freestanding CoS2-HUT-8/S cathode with sulfur loading of 5.2 mg cm−2 delivered a high areal capacity of 4.01 mAh cm−2 under a lean electrolyte, which would provide great potential for the practical progress of Li-S batteries.",Journal of Colloid and Interface Science,10.1016/j.jcis.2022.09.015
Mesoporous hierarchical NiCoSe2-NiO composite self-supported on carbon nanoarrays as synergistic electrocatalyst for flexible lithium-sulfur batteries,"© 2022 Elsevier Inc.Lithium-sulfur batteries (LSBs) have enormous application potential in the flexible energy storage field due to their large theoretical specific capacities and high energy densities. However, lithium-sulfur batteries face a notorious shuttle effect problem. To address this challenge, this work reports a three-dimensional (3D) structure of binary transition metal selenides (B-TMSe) hierarchical composites (CC/NiCoSe2-NiO) on carbon cloth as a self-supporting sulfur host for flexible LSBs. According to the density functional theory (DFT) calculations, NiCoSe2can exert a synergetic effect of high affinity with Lithium polysulfides (LiPSs) and electrocatalytic activity to lower the adsorption energy barrier and accelerate the sluggish reaction kinetics of polysulfides. Consequently, the CC/NiCoSe2-NiO-based electrodes realize a large specific capacity of approximately 1363 mAh/g at a current density of 0.1C, excellent rate performance (454.66 mAh/g at 5C) and a reversible specific capacity of 978.9 mAh/g at 1C, along with impressive cycling stability with an attenuation rate of 0.038% per cycle for 1000 cycles. They also achieve a large reversible cycle capacity of 919.43 mAh/g at 0.2C even at a high sulfur loading (3.5 mg/cm2). With a lean electrolyte (E/S ratio 10 µL/mg) and a high sulfur loading of 2.65 mg/cm2, a large capacity of 934.1 mAh/g is retained after 150 cycles at 0.5C. The assembled pouch cells from S@CC/NiCoSe2-NiO electrodes show a high initial discharge capacity of 1039.5 mAh/g at 1C at a sulfur loading of 2.65 mg/cm2 and maintain strong stability under high twisting and buckling.",Journal of Colloid and Interface Science,10.1016/j.jcis.2022.07.106
Nickel-cobalt Cyclo-tetraphosphate decorated hollow carbon nanocages as effective polysulfide promoters for stable Lithium-Sulfur batteries,"© 2022 Elsevier B.V.Lithium-sulfur batteries (LSBs) are promising next-generation energy storage systems. The construction of high-efficiency electrocatalysts to overcome the barriers of sluggish lithium polysulfides (LiPSs) conversion and shuttle effect is urgent. Herein, nickel–cobalt cyclo-tetraphosphate (NiCoP4O12) nanoparticles embedded in hollow carbon polyhedrons are elaborately prepared and used as excellent polysulfide promoters in LSBs. The well-controlled core–shell structure physically blocks and strongly captures LiPSs, thereby boosting LiPSs conversion kinetics over the large exposed NiCoP4O12 active sites. Meanwhile, the carbon matrix build a conductive network that enables high-speed electron and ion transport, thus forming a rapid and robust “capture-diffusion-transformation” network. As a result, the assembled S@NiCoP4O12 cathode delivers an excellent rate capacity (518.7 mAh g−1 at 5 C), impressive stability (a small capacity decay of 0.0396 % per cycle over 1500 cycles at 1 C), and favorable durability of thick sulfur cathodes under lean electrolyte condition (with 4.13 mg cm−2 sulfur loading and 5.0 µL mg−1 electrolyte) over 120 cycles.",Chemical Engineering Journal,10.1016/j.cej.2022.138677
Polar Co9S8 anchored on Pyrrole-Modified graphene with in situ growth of CNTs as multifunctional Self-Supporting medium for efficient Lithium-Sulfur batteries,"© 2022 Elsevier B.V.Lithium-sulfur batteries (LSBs) have stimulated burgeoning interest in both the academic and industrial communities due to their ultrahigh energy density and high cost-effectiveness. However, the real-world application of LSBs has long been plagued by the shuttling effect and sluggish conversion kinetics of soluble lithium polysulfides (LiPSn). Herein, we have designed and synthesized creative metallic and polar Co9S8 nanoparticles with in situ growth of CNTs anchored on pyrrole-modified graphene (Co9S8/CNTs-Gr) via a facile pyrolysis method, which further demonstrates superior electrochemical performance for the fixation of sulfur and effective activation of LiPSn redox conversion. The in situ growth of CNTs and introduction of pyrrole-modified graphene are beneficial for electron migration, thus significantly boost the rate performance of LSBs. Concurrently, the Co9S8 electrocatalyst shows high catalytic activity to reinforce the polysulfide conversion. Benefiting from this exquisite nanoarchitecture design, LSBs with a S@Co9S8/CNTs-Gr cathode exhibit outstanding performance, delivering a high reversible specific capacity of 950 mA h g−1 at 1C with a decay rate of only 0.01 % per cycle. Moreover, the S@Co9S8/CNTs-Gr electrode still achieves good cycling stability with a high sulfur loading of 7.2 mg cm−2, and the specific area capacity reaches as high as ∼ 6 mA h cm−2. This work provides a delicate design to construct Co9S8-based media for high-performance LSBs and can also promote one's understanding of the advantages of the process of adsorption and redox conversion of LiPSn.",Chemical Engineering Journal,10.1016/j.cej.2022.138370
Modulating the d-p orbital coupling of manganese chalcogenides for efficient polysulfides conversion in lithium–sulfur batteries,"© 2022 Elsevier B.V.The commercialization of lithium-sulfur battery (LSB) is seriously limited by the shuttling effect and sluggish reaction kinetics. Metal chalcogenides have been widely used as catalysts to enhance electrochemical performance, but the modulation essence of these non-metal anions is unclear. Herein, cubic manganese chalcogenides (MnO, MnS, MnSe) with fixed cation (Mn) and various anions (O, S, Se) are synthesized, and the anion effect on the performance of LSBs is systematically investigated. Based on the complementary experimental characterization and advanced theoretical calculations, it is clear that the interfacial redox reaction dynamics are governed by the catalytic activity of manganese chalcogenides, while the catalytic activity is modulated by the gap between the d-band of cation and p-band of anion (Δd-p). Among these manganese chalcogenides, Se has the largest atom radius and lowest electronegativity, which makes the p-band center of Se move to the Fermi level, thus increasing the electron's energy to react. Consequently, the LSBs based on MnSe catalyst exhibit the best rate (613.5 mAh g−1 at 4C) and cyclic performance (847.5 mAh g−1 after 250 cycles at 0.2C). This comparative study may encourage more effort and provide a new paradigm for developing highly effective catalysts for high-performance LSBs.",Journal of Power Sources,10.1016/j.jpowsour.2022.232244
A hierarchically porous TiN/N-C electrocatalyst with high interface utilization for lithium-sulfur batteries,"© 2022 Elsevier B.V.Lithium-Sulfur Batteries (LiSBs) are prevented to apply in practice by the irreversible loss from the cathode and difficult conversation kinetics of lithium polysulfides (LiPSs). An ideal S host material should possess high conductivity and sufficiently dispersed catalytic active sites to precisely restore the dissolved LiPSs to the surface of the S host material. In traditional catalyst design, porous carbonaceous materials are often selected as carriers for the nano-catalytic activity sites. However, non-polar pure carbon interfaces, where without nano-catalytic activity sites covered, have a very weak affinity to LiPSs. Here, we use ammonia as a nitrogen source to anneal the reduced aerogel (graphene oxide (rGO) supported nano-TiO2) at high temperatures. The N element is atomically doped into the lattice of the carbon matrix, and the nano-TiO2 is converted to nano-TiN. A hierarchically porous and high conductivity TiN/N-C is prepared, in which the nano-TiN is well dispersed on the surface of N-doped rGO as an active center for catalyzing LiPSs conversion. The doped-N elements significantly increase the proportion of the polar surface. The S@TiN/N-C composite cathode delivered an excellent long-life cycling performance, and the reversible discharge specific capacity faded from 1224 ± 16 to 675 ± 31 mAh g−1 after 930 cycles. More importantly, after 150 cycles with a high S loading, a reversible areal capacity of 4.1 mAh cm−2 can be achieved.",Applied Surface Science,10.1016/j.apsusc.2022.154682
