Lychee seed-derived microporous carbon for high-performance sodium-sulfur batteries,"© 2022 Elsevier LtdSodium-sulfur (Na–S) batteries are regarded as one of the promising next-generation energy storage systems; while being more cost-effective than lithium-sulfur batteries, Na–S batteries also suffer from the shuttle effect. Different strategies to tackle the long-chain polysulfide product shuttling issue have been proposed, mainly focusing on sulfur product confinement with costly materials and complex methods. Seeking high-performance and low-cost electrode material precursors is of great importance to promoting Na–S battery applications. We present a high specific surface area microporous carbon framework synthesized from degradable biowaste, namely lychee seeds, with a facile room-temperature etching process. Unlike the traditional dissolution-precipitation mechanism, a quasi-solid-state route takes place with the help of micropore (0.48 nm) confinement, preventing the formation of long-chain polysulfides for excellent electrochemical performance. The obtained Na–S battery exhibits an outstanding initial reversible discharge specific capacity of 1395 mAh g−1 at 0.2C and still maintains a high capacity of 518 mAh g−1 after 500 cycles at 1.0C. The lychee seed-derived microporous carbon provides insights into sustainable and scalable host fabrication for high-performance sulfur-based batteries.",Carbon,10.1016/j.carbon.2022.09.075
Oxygen vacancy-mediated amorphous GeOx assisted polysulfide redox kinetics for room-temperature sodium-sulfur batteries,"© 2022 Elsevier Inc.The practical applications of room-temperature sodium-sulfur (RT Na-S) batteries have been greatly hindered by the natural sluggish reaction kinetics of sulfur and the shuttle effect of sodium polysulfide (NaPSs). Herein, oxygen vacancy (OV)-mediated amorphous GeOx/nitrogen doped carbon (donated as GeOx/NC) composites were well designed as sulfur hosts for RT Na–S batteries. Experimental and density functional theory studies show that the introduction of oxygen vacancies on GeOx/NC can effectively immobilize polysulfides and accelerate the redox kinetics of polysulfides. Meanwhile, the micro-and mesoporous framework, acting as a reactor for storing active S, is conducive to alleviating the expansion of S during the charging/discharging process. Consequently, the S@GeOx/NC cathode affords a reversible capacity of 1017 mA h g−1 at 0.1 A g−1 after 100 cycles, outstanding rate capability of 333 mA h g−1 at 10.0 A g−1 and long lifespan cyclability of 385 mAh g−1 at 1 A g−1 after 1200 cycles. This work furnishes a new way for the rational design of metal oxides with oxygen vacancies and boosts the application for RT Na-S batteries.",Journal of Colloid and Interface Science,10.1016/j.jcis.2022.09.071
Ce(NO3)4: A dual-functional electrolyte additive for room-temperature sodium-sulfur batteries,"© 2022 Elsevier B.V.Room-temperature sodium-sulfur batteries face enormous challenges in the coulombic efficiency, capacity retention, and rate performance, which are seriously related to the solid electrolyte interface film, the shuttle effect of polysulfide, and the sodium-sulfur reaction kinetics. Adjusting the electrolyte composition by additives can significantly improve the battery performance and is attracting tremendous attention. However, the reported additives mainly focus on one of the two electrodes. It is still a considerable challenge to balance both aspects. This work proposes a novel dual-functional additive, Ce(NO3)4, and studies its comprehensive influence on the battery performance by X-ray diffraction (XRD), Fourier transforms infrared spectroscopy (FTIR), X-ray photoelectron spectroscopy (XPS), scanning electron microscope (SEM), energy-dispersive X-ray spectroscopy (EDS), and electrochemical techniques. The results show that Ce(NO3)4 generates NaCeO2 and NaNO3 to deposit on the Na surface. This inert deposition layer inhibits the side reactions between Na and polysulfides and optimizes the Na dissolution/deposition process, thereby improving the cycle stability of the battery. In addition, Ce4+ has a strong adsorption effect on capturing and evenly depositing polysulfides on the S cathode to inhibit the shuttle effect. In short, the Ce(NO3)4 additive plays a dual function of protecting the Na anode and optimizing the S cathode reaction.",Chemical Engineering Journal,10.1016/j.cej.2022.137978
An extraordinary Na-S battery enabled by a carbon nanosheet host loaded with Fe-accelerator and TiO2-inhibitor,"© 2022 Elsevier B.V.The inexpensive room-temperature sodium-sulfur (RT Na-S) battery has attracted extensive attention due to its various potential application but is still suffering from the low utilization of sulfur, the shuttle effect and the sluggish reaction activity of sodium polysulfides (SPSs). In this work, a TiO2/sulfur/atomic-iron loaded carbon nanosheet cathode is designed for high performance RT Na-S battery. When the atomic iron exists, a much higher electrochemical activity of sulfur was obtained, indicating the atomic iron can accelerate the conversion of SPSs. Furthermore, the TiO2 layer can inhibit the shuttle effect of SPSs and the side-reaction between the intermediates and carbonate electrolyte. As a result, the constructed sulfur cathode exhibits a high reversible capacity (569.9 mAh g−1 with an initial coulombic efficiency of 57.57%) at 0.1 A g−1 and outstanding cycling performance (507 mAh g−1 after 50 cycles). This work provides a new strategy for preparing high performance cathode materials for RT Na-S battery.",Applied Surface Science,10.1016/j.apsusc.2022.154496
An electrochemically stable homogeneous glassy electrolyte formed at room temperature for all-solid-state sodium batteries,"© 2022, The Author(s).All-solid-state sodium batteries (ASSSBs) are promising candidates for grid-scale energy storage. However, there are no commercialized ASSSBs yet, in part due to the lack of a low-cost, simple-to-fabricate solid electrolyte (SE) with electrochemical stability towards Na metal. In this work, we report a family of oxysulfide glass SEs (Na3PS4−xOx, where 0 < x ≤ 0.60) that not only exhibit the highest critical current density among all Na-ion conducting sulfide-based SEs, but also enable high-performance ambient-temperature sodium-sulfur batteries. By forming bridging oxygen units, the Na3PS4−xOx SEs undergo pressure-induced sintering at room temperature, resulting in a fully homogeneous glass structure with robust mechanical properties. Furthermore, the self-passivating solid electrolyte interphase at the Na|SE interface is critical for interface stabilization and reversible Na plating and stripping. The new structural and compositional design strategies presented here provide a new paradigm in the development of safe, low-cost, energy-dense, and long-lifetime ASSSBs.",Nature Communications,10.1038/s41467-022-30517-y
Effect of specifically-adsorbed polysulfides on the electron transfer kinetics of sodium metal anodes,"© 2022 Science Press and Dalian Institute of Chemical Physics, Chinese Academy of SciencesRoom-temperature sodium-sulfur (RT Na-S) batteries hold great promise for large-scale energy storage applications owing to the high energy density and earth-abundance of Na and S. However, the dissolution and migration of sodium polysulfides, uncontrollable Na dendrite growth, and the lack of studies on Na electrodeposition kinetics have hindered the development of these batteries. Herein, we reveal the mechanism of sodium polysulfides on the Na plating/stripping kinetics using a three-electrode system. First, the kinetic behavior deviates from the commonly supposed Butler–Volmer model, which is well described by the Marcus model. In addition, the specific adsorption of polysulfides on the sodium electrode surface is a key factor influencing the kinetics. Higher-order polysulfides (S82− and S62−) exhibit distinct specific adsorption behaviors because of their high adsorption energies compared to lower-order polysulfides (S42− and S22−). The electrostatic effect caused by specific adsorption can accelerate the kinetics, whereas the blocking effect can slow the kinetics. Thus, this competitive relationship enables low concentrations of high-order polysulfides to stimulate kinetics. This implies that a weak shuttle effect is beneficial for obtaining a stable Na deposition in RT Na-S batteries. An in-depth understanding of the Na electrodeposition kinetics provides beneficial clues for future metal sodium/electrolyte interface designs.",Journal of Energy Chemistry,10.1016/j.jechem.2022.07.008
A highly-efficient electrocatalyst for room temperature sodium-sulfur batteries: assembled nitrogen-doped hollow porous carbon spheres decorated with ultrafine α-MoC1-x nanoparticles,"© 2022 Elsevier B.V.While room-temperature sodium-sulfur (RT Na-S) battery is considered one of the most promising technologies for next-generation energy storage, its commoditization is constrained by the shuttling and sluggish redox kinetics of the sulfur electrode. Herein, a honeycomb-like sulfur electrocatalyst with ultrafine α-MoC1-x nanoparticles uniformly distributed on nitrogen-doped hollow porous carbon spheres (MoC@NHC) is designed and synthesized. Prepared through a template-assisted strategy followed by a self-assembly and pyrolysis process, the interconnected hollow porous structure of MoC@NHC provides not only a microenvironment for confinement of sodium polysulfides (NaPSs) but also sufficient free space for accommodation of volume change during electrochemical cycling. Moreover, the polar α-MoC1-x nanoparticles coupled with N-doped carbon provides strong affinity to NaPSs and promote catalytic conversion of NaPSs, as confirmed by experimental results and theoretical calculations. Owing to the physical and chemical dual confinement effect and the fast conversion kinetics of NaPSs, the S/MoC@NHC-15 cathode demonstrates good rate performances (351.8 mAh g−1 at 10 C) and outstanding cyclability (retaining capacities of 418.4 and 312.6 mAh g−1 after 1000 cycles at 1 and 5 C, respectively). This study introduces a simple and effective method for fabrication of S/MoC@NHC cathode materials for high-performance RT Na-S batteries.",Energy Storage Materials,10.1016/j.ensm.2022.07.028
Surface Film Formation from Sodium Polysulfide Decomposition on Sodium-Metal Anode Surface,"© 2022 American Chemical Society. All rights reserved.Room-temperature sodium-sulfur batteries are being considered as an alternative next generation of energy storage devices to replace lithium-sulfur batteries due to lower costs of Na metal while keeping a high theoretical capacity. A comprehensive understanding of polysulfide decomposition mechanisms and passivation film formation on the Na-metal surface has challenged the development of this metal-sulfur chemistry. Here, using first-principles modeling, we study the adsorption of sodium polysulfide (NaPS) molecules on the Na-metal surface and investigate the Na2S film formation from soluble NaPS decomposition in the presence of different electrolyte solvents (i.e., EC, PC, and EC/PC mixture). We find that NaPS molecules strongly interact with the Na-metal surface via Na-S bonds, leading to charge migration from the metal to the adsorbates. Such strong adsorption precedes a complete spontaneous electron-transfer decomposition of NaPS to form an amorphous Na2S film on the anode surface. The reduction reaction mechanisms are identified for each electrolyte, suggesting that polysulfides are completely decomposed in a short time. The energetic properties suggest that the first and second steps in the reaction of NaPS decomposition in the mixture solvent are thermodynamically uphill. The decomposed S atoms from NaPS can insert into the Na slab, leading to Na2S formation. The decomposition of multiple NaPS molecules reveals that the reduction of further NaPS on the surface after the first one is sluggish and incomplete because of the passivating nature of the nascent Na2S film, while NaPS far from the surface remains in the electrolyte phase forming a soluble NaPS cluster dissolved in the solvent.",Journal of Physical Chemistry C,10.1021/acs.jpcc.2c05223
Robust Room-Temperature Sodium-Sulfur Batteries Enabled by a Sandwich-Structured MXene@C/Polyolefin/MXene@C Dual-functional Separator,"© 2022 Wiley-VCH GmbH.Room-temperature sodium-sulfur (RT-Na-S) batteries are attracting increased attention due to their high theoretical energy density and low-cost. However, the traditional RT-Na-S batteries assembled with glass fiber (GF) separators are still hindered by the polysulfide shuttle effect and sodium dendrite growth, limiting the battery's capacity and cycling stability. Here, a facile and effective method toward commercial polyolefin separators for constructing stable RT-Na-S batteries is presented. By coating commercial polypropylene membrane with core-shell structured MXene@C nanosheets, a powerful dual-functional separator with improved electrolyte wettability that can inhibit polysulfide migration and induce uniform sodium disposition is developed. More importantly, the modified separator can also accelerate the conversion kinetics of sodium polysulfides. Benefiting from these characteristics, the as-prepared RT-Na-S battery exhibits a remarkably enhanced capacity (1159 mAh g-1 at 0.2 C) and excellent cycling performance (95.8% of capacity retention after 650 cycles at 0.5 C). This study opens a promising avenue for the development of high-performance Na-S batteries.",Small,10.1002/smll.202106983
Chitin-Derived Heteroatom-Doped Porous Carbon for High-Performance Room-Temperature Na-S Batteries,"© 2022 American Chemical Society. All rights reserved.Porous carbon derived from biomass is considered as a promising active electrode material for the next-generation energy storage systems. Herein, carbon particles with a hierarchical structure are fabricated from chitin through a facile pyrolysis/activation process, which is loaded with sulfur (S) as the cathode material in a room-temperature sodium-sulfur (RT Na-S) battery. Owing to the large specific surface area, enriched microporous structure, and nitrogen and oxygen-self-doping, the obtained carbon particles can not only provide abundant active sites for energy storage and rapid ion transport channels but also improve the utilization of S. Consequently, the S-cathode achieves an excellent cycle stability of 230 mAh g-1at a current density of 1 A g-1after 2000 cycles with a capacity retention of a94%. According to the kinetic analysis and density functional theory calculation, the unique and robust structure of carbon particles enables physical encapsulation and chemical confinement of S and polysulfides (PSs), which can strengthen Na+adsorption and diffusion. Therefore, this work established a universal technique for producing high-performance S-cathode materials, which may offer the potential for economical energy storage in RT Na-S batteries.",ACS Applied Energy Materials,10.1021/acsaem.2c02417
Metalized Polyacrylates as Efficient Binder for a Sulfurized Polyacrylonitrile/Polydopamine Active Material in Sulfur Cathodes for Room Temperature Sodium-Sulfur Batteries,"© 2022 American Chemical Society. All rights reserved.Promising binder systems with special chemical and mechanical functions are under extensive exploration to cope with serious volume change and harmful shuttle effect occurring during charge/discharge cycles of a sulfur cathode in sodium-sulfur (Na-S) batteries. In this aspect, sulfurized polyacrylonitrile (SPAN)/polydopamine (PDA) active materials are combined with different metalized polyacrylates (MPAAs) to result in a SPAN/PDA/MPAA binder system with peculiar morphology and superior mechanical and interfacial strengths. As the outer layer of SPAN/PDA/MPAA, MPAA can extend its long chains to interact with cathode components and, moreover, metal ions of MPAA can participate in the beneficial electron transport process. The results suggest that stability and electrochemical performance of the sulfur cathodes depend on the applied metal ions, which become better and better as the valence of metal ions change from mono (Na), di (Ca), and tri (Fe) to tetra (Ti). Cathode derived from SPAN/PDA/titanium polyacrylate (TiPAA) shows the best stability and electrochemical performance, exhibiting a rather high specific capacity of 1438 mAh g-1at 0.2 C for 100 cycles and 1271 mAh g-1at 1 C for 300 cycles. Hopefully, this study can provide a foundation on how to use different metal ions to manipulate the electrochemical performance of sulfur cathode in Na-S batteries.",ACS Applied Energy Materials,10.1021/acsaem.2c01836
