Electrochemical removal of ammonium nitrogen in high efficiency and N2 selectivity using non-noble single-atomic iron catalyst,"© 2022Ammonia nitrogen (NH4+-N) is a ubiquitous environmental pollutant, especially in offshore aquaculture systems. Electrochemical oxidation is very promising to remove NH4+-N, but suffers from the use of precious metals anodes. In this work, a robust and cheap electrocatalyst, iron single-atoms distributed in nitrogen-doped carbon (Fe-SAs/N-C), was developed for electrochemical removal of NH4+-N from in wastewater containing chloride. The Fe-SAs/N-C catalyst exhibited superior activity than that of iron nanoparticles loaded carbon (Fe-NPs/N-C), unmodified carbon and conventional Ti/IrO2-TiO2-RuO2 electrodes. And high removal efficiency (> 99%) could be achieved as well as high N2 selectivity (99.5%) at low current density. Further experiments and density functional theory (DFT) calculations demonstrated the indispensable role of single-atom iron in the promoted generation of chloride derived species for efficient removal of NH4+-N. This study provides promising inexpensive catalysts for NH4+-N removal in aquaculture wastewater.",Journal of Environmental Sciences (China),10.1016/j.jes.2022.03.004
Ru monolayer island doped MoS2 catalysts for efficient hydrogen evolution reaction,"© 2022 Elsevier B.V.Developing highly-efficient hydrogen evolution reaction (HER) catalysts is significantly important for hydrogen generation by water splitting. In this work, Ru monolayer islands (MIs)-doped MoS2 catalysts are synthesized controllably by high-gravity technology. Ru MIs are successfully anchored on the MoS2 nanosheets via the coordination of Ru and S species in the MoS2 matrix to form monolayer island structure, which not only provides high-density active centers for boosting the HER activity, but also exhibits the maximum atomic utilization. The prepared Ru MIs-doped MoS2 catalysts exhibit a remarkably low overpotential of 17 mV at the current density of 10 mA cm−2 (η10) in alkaline conditions. Density functional theory (DFT) results reveal that multi-Ru monolayer doping can efficiently tailor the electronic structure and improve the adsorption of hydrogen on MoS2, and thereby boost the catalytic activity of HER. This work provides a Ru MIs doping approach to enhance the density of active sites of electrocatalysts, which would overcome the bottleneck of low active site density of single-atom catalysts to design high-efficient electrocatalysts with maximum atomic utilization.",Chemical Engineering Journal,10.1016/j.cej.2022.139803
Sulfur-induced electron redistribution of single molybdenum atoms promotes nitrogen electroreduction to ammonia,"© 2022 Elsevier B.V.Electrochemical nitrogen reduction reaction (NRR) is considered a sustainable approach that endows NH3 production from N2 and H2O under ambient conditions. Due to the sluggish adsorption/activation of N2 and the strong competition with the hydrogen evolution reaction, advanced NRR electrocatalysts with both high activity and selectivity are required. Herein, we demonstrate a local modulation strategy that simultaneously promotes NRR selectivity and activity on molybdenum-based single atom catalysts (SACs) by sulfur-induced electronic redistribution, delivering a NH3 yield rate of 46.6 μg·h−1·mgcat−1 and a Faradaic efficiency of 28.9% at a potential of − 0.2 V vs. RHE in 0.1 M HCl under ambient conditions. This study provides a promising strategy for synergizing the selectivity and activity of electrocatalysts toward multistep NRR. Moreover, such an atomic-level engineering strategy should be applicable to other SACs in general and may have a major impact on their use in electrocatalytic applications.",Applied Catalysis B: Environmental,10.1016/j.apcatb.2022.122038
Structure-Activity Relationship of Atomic-Scale Cobalt-Based N-C Catalysts in the Oxygen Evolution Reaction,"© Editorial office of Acta Physico-Chimica Sinica.Understanding the origin of the active site activity in the oxygen evolution reaction (OER) electrocatalysts is key for developing efficient electrocatalysts. However, crucial challenges remain due to the complexity of catalyst structure-activity relationships. Herein, various Co-N-C configurations, including single atoms, diatoms, and clusters, were designed to establish structure-activity relationships by first-principles calculations. It was revealed that the Co-N4 exhibited the best reactivity due to the high coordination number of the metal center and moderate adsorption energies for all reaction intermediates. The diatom and cluster activities originate from the highly coordinated structures formed with reaction intermediates, which serve as coordination ligands. Furthermore, other factors influencing the OER activity based on the Co-N4 configuration are discussed. For example, the weak metal-metal interaction can further optimize the adsorption of oxygen-containing intermediates by tuning antibonding energy levels of Co-O. Subsequently, an ultralow overpotential of 0.23 V for the OER in CoNi-type4 systems can be obtained by extrapolation of the volcano plot derived from the established structure-adsorption-activity relationships. This work uncovers the underlying OER activity mechanisms of Co-N-C catalysts, which helps to further understanding of high-performance of M-N-C base catalysts and will aid in the future design of high-efficiency OER catalysts.",Wuli Huaxue Xuebao/ Acta Physico - Chimica Sinica,10.3866/PKU.WHXB202207007
Metal-organic framework derived Fe3C nanoparticles coupled single-atomic iron for boosting oxygen reduction reaction,"© 2022 Elsevier Inc.Developing transition metal electrocatalysts, especially single-atom catalysts (SACs), is significant. However, most of the synthesis procedures of SACs involve the formation of nanoparticles (NPs), and the produced NPs always play an influential role during electrocatalytic processing, so exploring the synergistic effects between metallic and isolated metal species is of great interest. Herein, we report a Zn/Fe-metal–organic framework (MOF)-derived Fe3C coupling FeNx catalyst constructed via coordination confinement pyrolysis effect successfully. Compared with the Pt/C catalyst and most precious metal-free catalysts, the optimized catalyst Fe3C-FeNx/NC-7 demonstrates superior oxygen reduction reaction (ORR) activity in 0.1 M KOH. The half-wave potential (E1/2) reaches up to 0.93 V with the limiting current density (jL) of 5.65 mA/cm2 at 5 mV/s scanning rate and 1600 rpm. The excellent performance originates from the synergistic effect of FeNx and Fe3C active units combined with wide-distributed nitrogen atoms. The Fe3C NPs further optimize the electronic structure and adsorption/desorption free energy of the catalyst. The assembled primary Zn-air battery (ZAB) displays a satisfying open-circuit potential of 1.53 V and an excellent specific capacity of 835 mA·h·g−1. The maximum power density achieves 283 mW/cm2, outclassing the commercial Pt/C-based ZAB. This result demonstrates the promising application prospect of the catalyst-cooperated metallic NPs with isolated single metal species.",Journal of Colloid and Interface Science,10.1016/j.jcis.2022.10.036
Zn single atom on N-doped carbon: Highly active and selective catalyst for electrochemical reduction of nitrate to ammonia,"© 2022 Elsevier B.V.Electrochemical reduction of nitrate (NO3−) to ammonia (NH3) in aqueous media is a double-advantage process, which can convert the main pollutant in water to the most useful chemical feedstocks. However, the design and development of highly effective and selective catalyst for NO3− reduction reaction (NO3−RR) is still challenging currently, as the NO3−RR contains multiple pathways and suppresses each other. Here, we demonstrate a highly active and selective Zn single atom supported microporous N-doped carbon catalyst, which was characterized by the atomic resolution high-angle annular dark field-scanning transmission electron microscopy, achieving excellent NO3−RR performance (NO3− conversion: 97.2 %; NH3 selectivity: 94.9 %; NH3 yield rate: ∼39,000 μg h−1 mgcat.−1; Faradaic efficiency: 94.8 %). Density functional theory calculations confirm that the atomically dispersed Zn atom coordinated with four N atoms has moderate interaction with NO3− species due to its positive charge. The reaction mechanism and potential determining step for NO3−RR on single Zn atom were further determined. This research provides an exciting new way for the rational design and development of single atom catalyst for advanced electrochemical applications.",Chemical Engineering Journal,10.1016/j.cej.2022.139533
Regulating d-orbital electronic character and HER free energy of VN electrocatalyst by anchoring single atom,"© 2022 Elsevier B.V.Too strong or too weak orbital electron-coupling with active adsorbents basically results in unsatisfied free energies, and consequently limiting the HER kinetics and activity. Herein, Co-VN catalyst is fabricated to highlight that atomically implanted Co into VN can regulate its d orbital electronic character and corresponding free energy for further improving its alkaline HER performances. Experimental results and density functional theory calculations reveal that atomically implanted Co into VN could induce local charge redispersion to further downshift the d band center position of V-3d in Co-VN. The lowered d band center of the V-3d could not only decrease the d orbital electron-coupling between V site and O atom of OH intermediate to boost desorption of OH species and H2O dissociation kinetics, but also simultaneously balance the hydrogen adsorption free energy to facilitate the desorption of as-formed H2, both of which synergistically increase the Volmer and Heyrovsky kinetics and overall HER activity of Co-VN. Moreover, the structural stability of Co-VN after long-term HER is also investigated by transmission electron microscopy and X-ray photoelectron spectroscopy to uncover its activity-stability trade-off riddle. As a result, Co-VN catalyst expectantly displays a low overpotential of 59 mV at −10 mA cm−2, a small Tafel slope of 46.3 mV dec−1, and a favorable long-term stability. The proposed regulation strategy of orbital electronic structure and free energy could be extended to design other high-performance catalysts.",Chemical Engineering Journal,10.1016/j.cej.2022.139131
Strong electronic coupling between single Ru atoms and cobalt-vanadium layered double hydroxide harness efficient water splitting,"© 2022Atomic coordination modulation and electronic structure engineering are appealing routes to develop versatile electrocatalysts targeting high-performance water electrolysis. Herein, atomically dispersed Ru sites are successfully anchored on the surface of CoV layered double hydroxide (LDH), affording a vertically aligned and interconnected nanosheet array architecture. Benefitting from the strong electronic coupling, fast charge transfer capability and well-defined morphology of as-prepared catalyst, ultralow overpotentials for hydrogen evolution reaction (HER, η10 = 28 mV) and oxygen evolution reaction (OER, η25 = 263 mV) are required. The two-electrode configuration cell only requires a cell voltage of 1.52 V to reach 10 mA cm−2, which is lower than that of commercialized Pt/C||RuO2 couple. Synchrotron X-ray absorption spectroscopy studies in combination with density functional theory calculations reveal that the strong electronic coupling between monatomic Ru with CoV LDH induces spatial charge redistribution and a distorted coordination environment around V atoms, thereby accelerating the hydrogen release for HER and reducing the rate-determining step (O* → OOH*) free energy for OER.",Chemical Engineering Journal,10.1016/j.cej.2022.139151
Protein-mediated synthesis of iron single atom electrocatalyst with highly accessible active sites for enhanced pH-universal oxygen reduction,"© 2022 Elsevier B.V.Facile synthesis of highly efficient non-precious metal electrocatalysts is intriguing as these catalysts are used in the oxygen reduction reaction (ORR). Herein, we describe an effective protein-mediated approach to access atomically dispersed iron electrocatalyst (Fe SAs/NC) with enhanced accessible metal active sites. This Fe catalyst achieves an exceptional ORR activity in the pH-universal range, especially in alkaline and acid electrolytes with half-wave potentials of 0.93 and 0.84 V (vs RHE), respectively. The unique electronic structure of Fe sites with enhanced electron/proton transportation ability contributes to the optimized adsorption/desorption of oxygen intermediates. In addition, it shows robust durability and excellent tolerance to methanol crossover in pH-universal media. Impressively, it displays encouraging performance when employed in a zinc-air battery, demonstrating a peak power density of 275.1 mW cm−2 and a specific capacity of 753.8 mAh g−1. The extremely long-term operational stability of more than 250 h further provides significant potential for its application.",Applied Catalysis B: Environmental,10.1016/j.apcatb.2022.121987
N-bridged Ni and Mn single-atom pair sites: A highly efficient electrocatalyst for CO2 conversion to CO,"© 2022 Elsevier B.V.Herein, we report highly efficient diatomic electrocatalysts with Ni and Mn single-atom pair sites decorated on N-doped porous carbon framework for CO2 conversion. The resulting catalysts can preferentially and rapidly convert CO2 into CO with a high Faradaic efficiency of 98.3% and an industrially relevant current density of – 300 mA cm−2 at a low overpotential of 0.287 V in a GDE-based flow reactor cell. Furthermore, it shows high cathodic energetic efficiencies over 80 % for CO production even under industrially relevant current densities. The in-depth experimental measurements and theoretical calculations reveal that the synergistic electronic modification effect caused by coupling neighboring Ni and Mn single atoms exhibits favorable characteristics in reaction steps of CO2 conversion such as CO2 adsorption/activation and immobilization of CO2 radical intermediate as well as adsorbed CO desorption, leading to highly efficient CO production.",Applied Catalysis B: Environmental,10.1016/j.apcatb.2022.121953
