Metal-Organic Frameworks Driven Electrocatalytic and Photocatalytic Hydrogen Production: A Mini-Review,"© 2022 by the authors.The fabrication of economic electrocatalysts having high hydrogen evolution reaction ability and durability is one of the major challenges of hydrogen-based technologies. For the development of hydrogen fuel cell technology, it is equally crucial to have an easy way to produce hydrogen as a source of fuel. Metal-organic frameworks (MOFs)-driven materials are considered among the most promising electrocatalysts for hydrogen generation among the available economic electrocatalysts, including single-atom electrocatalysts, metal oxides, phosphides, sulfides, and so on. This is because of their chemically adjustable and well-defined architecture and pore size with high intrinsic electrical conductivity. This work discusses successful manufacturing techniques for MOF-based electrocatalysts, recent advances in their usage for hydrogen generation, and prospects for MOF engineering for hydrogen generation.",Biointerface Research in Applied Chemistry
Electrochemical removal of ammonium nitrogen in high efficiency and N2 selectivity using non-noble single-atomic iron catalyst,"© 2022Ammonia nitrogen (NH4+-N) is a ubiquitous environmental pollutant, especially in offshore aquaculture systems. Electrochemical oxidation is very promising to remove NH4+-N, but suffers from the use of precious metals anodes. In this work, a robust and cheap electrocatalyst, iron single-atoms distributed in nitrogen-doped carbon (Fe-SAs/N-C), was developed for electrochemical removal of NH4+-N from in wastewater containing chloride. The Fe-SAs/N-C catalyst exhibited superior activity than that of iron nanoparticles loaded carbon (Fe-NPs/N-C), unmodified carbon and conventional Ti/IrO2-TiO2-RuO2 electrodes. And high removal efficiency (> 99%) could be achieved as well as high N2 selectivity (99.5%) at low current density. Further experiments and density functional theory (DFT) calculations demonstrated the indispensable role of single-atom iron in the promoted generation of chloride derived species for efficient removal of NH4+-N. This study provides promising inexpensive catalysts for NH4+-N removal in aquaculture wastewater.",Journal of Environmental Sciences (China)
Engineering the interface of porous CoMoO3 nanosheets with Co3Mo nanoparticles for high-performance electrochemical overall water splitting,"© 2022The design of high-performance electrocatalysts for alkaline water splitting is of significant importance for the development of a sustainable hydrogen economy. Herein, heterostructured Co3Mo nanoparticles/porous CoMoO3 nanosheets (Co3Mo/CoMoO3 NPSs) were constructed for alkaline water splitting by annealing CoMoOx nanosheets under controlled atmospheres. Thanks to its interfacial electronic structure and increased electrochemical active area, Co3Mo/CoMoO3 NPSs exhibit impressive hydrogen evolution reaction (HER) activity with an overpotential of 334 mV at 1000 mA cm-2 and a Tafel slope of 46.4 mV per decade in 1.0 M KOH, which outperforms Pt/C catalyst (621 mV and 74.7 mV per decade). Density functional theory calculations illustrate the electron transfer from Co3Mo to CoMoO3 at the interfaces, where electron accumulation on CoMoO3 favors the dissociation of H2O molecule, and electron-deficient Co atoms in Co3Mo have optimized H* absorption energy for HER. The Co3Mo/CoMoO3 NPSs also exhibit higher oxygen evolution reaction activity than the RuO2 catalyst. Moreover, the water electrolyzer using Co3Mo/CoMoO3 NPSs as both cathode and anode only requires 1.59 V to deliver a current density of 100 mA cm-2 in 1.0 M KOH, which outperforms benchmark Pt/C || RuO2 electrodes couple with 1.69 V to reach the same current density, providing great potential for large-scale applications.",Journal of Materials Science and Technology
Tellurium intervened Fe-N codoped carbon for improved oxygen reduction reaction and high-performance Zn-air batteries,"© 2022Pyrolysis-acquired iron and nitrogen codoped carbon (Fe-N-C) has been comprehensively investigated for its promising oxygen reduction reaction (ORR) catalytic performance and structural complexity. The modification of non-metal elements with larger atomic radius and the corresponding intrinsic microstructure-property relations are rarely reported. In this study, tellurium (Te) intervened Fe-N-C was prepared by micelles-induced polymerization with Te nanowires as an in-situ intervening agent. The out-plane bonding of Te with Fe induced the increase of both N content and proportion of pyridinic N on the material surface, thus improving the ORR catalytic performance. The assembled Zn-air battery demonstrated a maximum power density of 250 mW/cm2 and excellent rate capability under various discharge current densities, which was much better than the Pt/C. Overall, the current work demonstrates a novel Te/Fe-N-C material and reveals an original Te intervened Fe-N-C strategy and N reconfiguration mechanism, which is of great significance for the design of key materials in energy-related fields.",Journal of Materials Science and Technology
Self-supported porous copper oxide nanosheet arrays for efficient and selective electrochemical conversion of nitrate ions to nitrogen gas,"© 2022Electrochemical techniques have shown advantages for the removal of low-concentration nitrate. Here, copper oxide nanosheets were grown on self-supporting nickel foam (NF) to prepare electrodes (CuO/NF), which realized the rapid and highly selective conversion of nitrate pollutants in sewage into nontoxic and harmless N2. The CuO/NF afforded 100% NO3– removal within 100 min and 99.53% selectivity for N2 at –50 mA without producing a lot of by-products (NO2–, NH4+, and N2H4). Furthermore, 81.8% of NO3– was removed under the given conditions after six experimental repetitions. These results suggest that the catalyst has excellent electrochemical stability. The performance of CuO/NF for the electrocatalytic removal of NO3– in simulated wastewater (which contained Cl– and SO42–) was almost unaffected. Because of the high efficiency, high stability, and low cost of CuO/NF, this catalyst is practical for the removal of nitrate for wastewater purification.",Journal of Materials Science and Technology
Fe3C@C/C for catalytic ozonation of silicon-containing wastewater: Dual improvement of silicon resistance and catalytic effect,"© 2022The improvement of catalysts’ stability under harsh reaction conditions is vital for their practical applicability. Herein, iron carbide (Fe3C) nanoparticles were encapsulated in graphitic carbon in situ and a carbon ball served as the carrier. The synthesized Fe3C@C/C was first utilized to treat an m-cresol wastewater containing Si via catalytic ozonation. Compared with the commercial Fe/Al2O3 catalyst, the resistance to Si of the Fe3C@C/C was improved 22.68 times, while the TOC removal rate increased by a factor of 2.9, and it remained stable during 10 cycles and 12000 min of continuous reaction, which further demonstrated its potential for diverse applications. The catalyst exhibits improved resistance to Si because of the dual protection from the carbon-encapsulated structure and carbon carrier. Density functional theory calculations show that the encapsulation of Fe3C using carbon significantly increases the resistance to adsorption of Si on its active sites. In addition, the activation of O3 is unimpeded on the Fe3C adsorption sites by the protection from C, thus the generation of reactive oxygen species (ROS) by ozone is largely promoted. The mechanism associated with the resistance of the Fe3C@C/C catalyst to Si and its elevated activity are also elucidated.",Journal of Materials Science and Technology
Caterpillar-like 3D graphene nanoscrolls@CNTs hybrids decorated with Co-doped MoSe2 nanosheets for electrocatalytic hydrogen evolution,"© 2022Hydrogen is a clean and flexible energy carrier that has the promising to satisfy urgent demands of the energy crisis and environmental protection. Electrochemical hydrogen evolution reaction (HER), a critical half-reaction in water splitting, is one of the greenest and most common methods to obtain high-purity hydrogen. Designing preeminent activity and stability electrocatalysts for hydrogen precipitation reaction (HER) to reduce energy consumption is of great essential. 3D carbon-based materials have attracted widespread concern as the potential scaffolds of highly active and durable electrocatalysts for HER. To boost the HER activity and prolong the lifespan of electrocatalysts, multifarious 3D carbon architectures make an appearance to be engineered for accelerating electronic/mass transfer and maximizing the exposure of active sites. Herein, we designed and fabricated high-performance electrocatalysts based on a special caterpillar-like 3D graphene nanoscrolls@CNTs (GNS@CNTs) scaffold decorated with Co-doped MoSe2 nanosheets for HER. In the caterpillar-like hierarchical structure, CNTs were seamlessly co-bonded and dilated the interlayer and outer spacing of GNS through CVD growth technology, and nickel nanoparticles were covered by the CNTs tips. Taking advantage of the plentiful hierarchical pore, larger specific surface area, and higher chemical stability of the caterpillar-like structure, the catalysts exhibited enhanced electrocatalytic properties than some existing data reported. Density functional theory calculations showed that the encapsulated nickel nanoparticle could tune the electronic structure of the outer anchored Co-doped MoSe2 and optimize its ∆G of H* adsorption by electron traversing effect and doping effect. These indicate that caterpillar-like GNS@CNT is an ideal scaffold for anchoring actives substance and is suitable for high-efficient HER. This study provides new insights for designing hierarchical carbon composite nanostructures for catalysts, sensors, energy materials, and other applications.",Journal of Materials Science and Technology
Ultralow Fe doping induced high photocatalytic activity toward ciprofloxacin degradation and CO2 reduction,"© 2022TiO2 is one of the most ideal photocatalytic materials, but its application is limited by many problems (e.g., wide band gap, easy carrier recombination). Co-catalyst with changes in valence could efficiently overcome the disadvantages above. Herein, a Fe species (Fe, Fe2O3)/TiO2 was designed to fully utilize photogenerated charges and holes. The degradation rate of ciprofloxacin can reach 99.97%. In addition, its methane generation from photoreduction of CO2 is 12.9 times than that of pure TiO2. These results are attributed to the well-designed catalyst including the combination of TiO2 and FeOx as photocatalysts and oxygen buffers, and the dispersion of single-atom Fe clusters as cocatalysts and electron trap sites. The effect mechanism of Fe species on TiO2 was verified by PBE DFT calculation. Finally, following a concept of thermodynamic-kinetic synergy, a new design strategy for photocatalysts is accordingly proposed, as such, the prepared catalyst is expected to be applied in the environmental remediation.",Journal of Molecular Structure
Activation of oxalic acid via dual-pathway over single-atom Fe catalysts: Mechanism and membrane application,"© 2022 Elsevier B.V.Oxalic acid (OA), together with its ligand, appears in diverse biotic and abiotic processes in nature. However, the applications of the photochemical property of OA and its complexes in environmental purification are scarce. Herein, we reported a Fe single-atom catalyst with Fe-N4 configuration supported on g-C3N4 (Fe-CN) to activate OA for ultrahigh-efficiency removal of Cr(VI) under visible light irradiation through dual pathways: the photo-dissociation of [FeⅢ(C2O4)]+ and the reaction between OA and photogenerated holes, achieving the generation of •CO2-. The introduction of Fe-N4 favors the formation of configuration [FeⅢ(C2O4)]+ and fabricates the electron transfer channel from catalyst to OA, further decreases the energy barriers of •CO2- generation, and thereafter efficiently facilitates the C-C cleavage for the generate of •CO2-. Meanwhile, the strong coordination interaction over Fe single atoms and N atoms could enhance the separation efficiency of photo-carriers and further promote the reduction activity. Under optimal conditions, Fe-CN showed a 5.1-fold increasement in photocatalytic kinetics contrast to pristine CN. The Fe-CN catalyst attached on fibrous membrane for treatment of flowing Cr(VI) wastewater exhibits 90% reduction efficiency over 10 h, which is expected to facilitate the practical application of the catalyst. The mechanism of OA activation with dual-pathway was unveiled by in-situ Fourier transform infrared spectra and theoretical calculations. This work provides an important guidance for the application of OA and its complexes to achieve the attenuation of toxic and harmful heavy metal in water restoration.",Applied Catalysis B: Environmental
In-situ growth of Co/Zn bimetallic MOF on GO surface to prepare GO supporting Co@C single-atom catalyst for Hg0 oxidation,"© 2022Oxidation of Hg0 to Hg2+ is an efficient way to remove Hg0 from flue gas. Chemisorbed oxygen as the main active site plays an important role in Hg0 oxidation process. Single-atom catalyst has an excellent ability of transforming gaseous oxygen into chemisorbed oxygen. In the present work, graphene oxide (GO) was used as support to in-situ grow Co/Zn bimetallic MOF on GO surface. After pyrolysis, a GO supported Co@C single-atom catalyst was obtained. SEM and TEM results show that GO supporting gives a high dispersion for calcined MOF particles. HAADF-STEM results prove that most of the Co atoms in calcined MOF particles stay as single-atom status. EXAFS indicated that the Co atoms in the catalyst was coordinated with N, and the coordination was dominated by CoN2. CoN2 can capture and activate gaseous oxygen forming more chemisorbed oxygen. Thanks to the high dispersion of calcined MOF and higher chemisorbed oxygen concentration, the Hg0 oxidation efficiency of the obtained catalyst (Co2.5-SAs@NC/GO-1) can reach above 90 % in the temperature range of 120–180 °C with 0.075 g loading amount at the GHSV of 180, 000 h−1. The probable reaction pathway was analyzed by an adsorption–desorption experiment and XPS over the used and regenerated Co2.5-SAs@NC/GO-1.",Fuel
